zi,part
㐬,云
㐬,川
㐱,人
㐱,彡
㑗,人
㑗,身
㑞,人
㑥,人
㑥,易
㑮,人
㑵,人
㑾,人
㒄,人
㒤,人
㒸,八
㒸,豕
㓃,冂
㓝,井
㓝,刀
㓝,刂
㓞,丰
㓞,刀
㓠,刀
㓠,占
㓡,刀
㓡,缶
㓵,刀
㓷,刀
㓼,刀
㔎,刀
㔣,力
㔴,匚
㔶,匚
㔷,丙
㔷,匸
㔹,力
㔹,十
㕆,厂
㕆,古
㕇,厂
㕇,立
㕊,厂
㕊,甫
㕋,厂
㕋,金
㕒,厂
㕗,厶
㕡,谷
㕣,八
㕣,口
㕣,水
㕧,口
㕧,尸
㕯,内
㕯,口
㗊,口
㗋,口
㗘,口
㗬,尚
㗱,口
㘈,口
㘙,口
㘝,又
㘝,囗
㘣,囗
㘣,肙
㙙,土
㙙,水
㙠,土
㙤,土
㙩,土
㙪,土
㙷,土
㚃,凶
㚇,夊
㚔,大
㚕,大
㚖,白
㚤,女
㚤,弋
㚩,女
㚲,占
㚲,女
㛂,女
㛄,女
㛄,衣
㛅,女
㛅,耳
㛆,女
㛍,女
㛗,女
㛥,女
㛪,女
㛮,女
㛴,女
㛼,女
㜅,女
㜇,女
㜎,女
㜗,女
㜘,女
㜝,女
㜣,女
㜤,女
㜮,女
㜺,女
㝃,子
㝅,士
㝅,子
㝅,殳
㝌,久
㝌,宀
㝗,宀
㝗,良
㝣,宀
㝩,宀
㝮,宀
㝱,宀
㝱,疒
㝵,一
㝵,寸
㝵,日
㝼,于
㝿,皮
㞏,尸
㞓,尸
㞕,尸
㞚,尸
㞟,尸
㞣,分
㞣,屮
㞥,入
㞥,山
㞦,几
㞦,山
㠀,山
㠱,其
㠱,己
㠲,匕
㠲,巾
㠴,刃
㠴,巾
㠷,及
㠷,巾
㠾,巾
㡄,巾
㡆,巾
㡇,巾
㡉,巾
㡏,巾
㡐,巾
㡒,巾
㡓,巾
㡔,巾
㡘,兼
㡘,巾
㡜,巾
㡨,巾
㡹,且
㡹,广
㡿,屰
㡿,广
㢈,广
㢈,隹
㢉,广
㢋,广
㢚,广
㢟,廴
㢟,止
㣇,彑
㣇,豕
㣎,小
㣎,彡
㣎,白
㣙,彳
㣙,由
㣤,彳
㣫,彳
㣻,乂
㣻,心
㤁,天
㤁,心
㤄,心
㤅,心
㤥,心
㤨,共
㤨,心
㤮,心
㤲,心
㥆,心
㥆,隶
㥋,心
㥏,心
㥒,心
㥛,心
㥝,心
㥞,心
㥟,心
㥠,心
㥥,心
㥦,心
㥯,心
㥴,心
㦁,心
㦌,心
㦚,心
㦛,心
㦣,心
㧊,手
㧗,手
㧘,手
㧢,手
㧬,手
㧺,手
㨐,手
㨔,咸
㨔,手
㨖,手
㨜,手
㨡,手
㨷,手
㩃,手
㩅,手
㩜,手
㩴,手
㩻,支
㪉,合
㪉,攵
㪏,攵
㪒,攵
㪔,攵
㪙,攵
㪤,攵
㪵,半
㪵,斗
㪺,斗
㪻,斗
㬥,米
㬫,日
㬮,日
㬰,乙
㬰,申
㭁,乃
㭁,木
㭂,小
㭂,木
㭒,木
㭔,乎
㭔,木
㭕,去
㭕,木
㭘,合
㭘,木
㭩,木
㮂,木
㮐,木
㮓,木
㮘,木
㮝,木
㮞,木
㮨,木
㮩,木
㮯,木
㮰,木
㮿,木
㯉,木
㯕,木
㯡,包
㯳,木
㯷,木
㰋,木
㰍,木
㰘,木
㰣,欠
㰮,欠
㰮,辰
㰲,或
㰲,欠
㰶,欠
㱂,欠
㱃,欠
㱇,欠
㱍,欠
㱙,歹
㱠,古
㱠,歹
㱦,歹
㱪,歹
㱯,歹
㱳,歹
㱻,歹
㱽,殳
㱾,殳
㱿,殳
㲃,匕
㲃,殳
㲃,白
㲦,人
㲦,十
㲦,日
㲦,毛
㲪,毛
㲳,失
㲻,人
㲻,水
㲽,刃
㲽,水
㳄,欠
㳄,水
㳄,氵
㳶,水
㳷,水
㳻,水
㴲,水
㴶,水
㵋,水
㵞,水
㵣,欠
㵺,水
㵾,水
㶄,水
㶇,水
㶕,水
㶛,水
㶟,水
㶣,干
㶣,火
㶳,火
㶳,聿
㶴,火
㷭,火
㷮,火
㷳,火
㸚,乂
㸬,牜
㸹,牜
㹁,牜
㹂,牛
㹂,牜
㹃,牛
㹃,牜
㹃,非
㹊,牜
㹌,牜
㹔,牜
㹔,畺
㹗,牜
㹛,牜
㹞,斤
㹞,犭
㹤,去
㹤,犭
㹥,犭
㹽,犭
㺉,士
㺉,殳
㺉,犬
㺉,犭
㺌,兼
㺌,犭
㺑,犭
㺒,犭
㺕,犭
㺖,犭
㺜,犭
㺨,厶
㺨,玉
㺿,玉
㻃,曲
㻃,玉
㻝,玉
㻸,玉
㼎,交
㼎,瓜
㼝,瓦
㼰,瓦
㼱,北
㼱,皮
㼲,瓦
㼸,瓦
㼽,瓦
㽕,由
㽘,亢
㽘,田
㽥,田
㽨,田
㽱,疒
㽺,及
㽺,疒
㽽,古
㽽,疒
㽾,出
㽾,疒
㾁,术
㾁,疒
㾅,疒
㾈,疒
㾓,疒
㾕,疒
㾕,辛
㾜,疒
㾫,疒
㾺,疒
㿄,疒
㿛,疒
㿥,白
㿾,宁
㿾,皿
䀁,皿
䀇,古
䀇,皿
䀇,缶
䀊,皿
䀗,目
䀛,勿
䀛,目
䀣,必
䀣,目
䀩,各
䀩,目
䀶,目
䀶,良
䀹,目
䀺,目
䁂,目
䁊,目
䁍,咸
䁍,目
䁔,目
䁙,目
䁲,目
䁴,目
䂇,丑
䂇,矛
䂬,石
䂹,石
䂿,石
䃍,石
䃒,石
䃒,鬲
䃺,石
䃾,比
䃾,礻
䄆,礻
䄏,礻
䄟,示
䄟,礻
䄪,勺
䄪,禾
䄷,石
䄷,禾
䅁,禾
䅌,禾
䅌,肙
䅓,又
䅓,句
䅓,禾
䅘,禾
䅣,禾
䅥,禾
䅩,只
䅩,支
䅭,禾
䅵,禾
䆃,禾
䆅,禾
䆏,禾
䆘,甲
䆘,穴
䆞,穴
䆢,穴
䆯,女
䆷,穴
䇎,立
䇏,立
䇐,立
䇐,隶
䇑,立
䇔,立
䇨,竹
䇫,竹
䇬,竹
䈎,竹
䈕,竹
䈚,竹
䈞,竹
䈰,竹
䈵,竹
䉃,竹
䉛,竹
䉠,竹
䉧,竹
䉴,竹
䉷,竹
䉺,工
䉺,米
䉾,北
䉾,米
䊎,米
䊝,米
䊤,米
䊪,米
䊮,米
䊳,米
䋀,戶
䋀,户
䋀,糸
䋀,纟
䋈,糸
䋈,纟
䋉,穴
䋉,纟
䋊,正
䋊,纟
䋎,旦
䋎,纟
䋐,纟
䋛,米
䋛,纟
䋢,糸
䋢,纟
䋣,糸
䋣,纟
䋤,勺
䋨,纟
䋫,纟
䋭,纟
䋰,糸
䋰,纟
䋼,纟
䋽,纟
䌖,纟
䌳,纟
䌴,纟
䍃,爫
䍃,缶
䍄,占
䍄,缶
䍇,缶
䍌,缶
䍍,士
䍍,殳
䍍,缶
䍎,缶
䍑,干
䍑,罒
䍖,包
䍖,罒
䍘,米
䍘,罒
䍙,罒
䍡,罒
䍡,鹿
䍮,羊
䍴,羊
䍿,王
䍿,羽
䎠,丸
䎠,而
䎳,月
䎳,耳
䏁,耳
䏌,八
䏌,肉
䏔,丑
䏔,肉
䏖,肉
䏙,肉
䏟,必
䏟,肉
䏣,且
䏣,肉
䏰,肉
䐄,肉
䐑,肉
䐜,肉
䐝,肉
䐞,肉
䐣,肉
䐹,肉
䑋,肉
䑣,彡
䑣,舟
䒗,气
䒗,艹
䒨,矢
䒸,血
䒼,曲
䖊,乂
䖐,斤
䖒,虍
䖒,豆
䖔,去
䖜,曰
䖦,出
䖦,虫
䖯,虫
䖵,虫
䗇,虫
䗐,虫
䗥,虫
䘓,血
䘰,衣
䘳,衣
䘳,金
䙔,衣
䙝,衣
䙟,衣
䙵,西
䙷,寸
䙾,它
䚗,公
䚗,角
䚙,角
䚡,角
䚦,角
䚨,角
䚫,角
䚭,角
䚮,乃
䚮,讠
䛆,由
䛆,讠
䛩,讠
䛬,匋
䛬,讠
䜋,讠
䜌,糸
䜌,言
䜕,讠
䜚,讠
䜭,谷
䝐,豕
䝪,疋
䞓,坙
䞓,赤
䞗,才
䞗,走
䞘,气
䞘,走
䞚,支
䞚,走
䞥,走
䞨,走
䞪,走
䞭,走
䞳,走
䞾,走
䟂,走
䟆,走
䟇,走
䟈,走
䟉,走
䟏,走
䟑,走
䟑,龠
䟒,走
䟔,卜
䟔,足
䟗,氏
䟗,足
䟠,足
䟴,足
䟴,辰
䟸,足
䟺,足
䠅,足
䠊,足
䠊,非
䠍,足
䠛,足
䠟,足
䠧,足
䠶,矢
䠶,身
䡅,川
䡅,车
䡇,元
䡇,车
䡈,爻
䡈,车
䡊,车
䡓,行
䡓,车
䡔,车
䡝,车
䡞,车
䡣,车
