zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
众,199,,,人,人,,,,,人,,,2024-01-15 12:50:32,,Y,,from HSK,crowd;  multitude/many
品,280,,,口,口,,,,,口,,,2024-01-25 01:35:16,,Y,,from HSK,(bound form) article;  commodity
晶,5502,,,日,日,,,,,日,,,2024-01-23 22:31:46,,Y,,,
矗,2455,,,直,直,,,,,直,,,2024-01-28 13:29:42,,Y,,from HSK,lofty/upright
劦,13699,,,力,力,,,,,力,,,2024-01-21 12:55:56,,Y,,,
厽,13828,,,厶,厶,,,,,厶,,,2024-01-23 22:27:18,,Y,,,
叒,13866,,,又,又,,,,,又,,,2024-01-27 10:47:57,,Y,,6,
惢,13852,,,心,心,,,,,心,,,2024-01-25 22:16:16,,Y,,,
森,9077,,,木,木,,,,,木,,,2024-01-20 05:26:02,木多皃。从林从木。讀若曾參之參。,Y,3838,in HSK,
毳,13706,,,毛,毛,,,,,毛,,,2024-01-21 13:14:04,,Y,,,
畾,13538,,,田,田,,,,,田,,,2024-01-20 17:41:18,,Y,,,
