zi,u_id,unicode,pinyin,nstrokes,alias,traditional,as_part,is_radical,layer,desc_cn,zi_en,desc_en,ts,sort_val,is_active
一,11789,,yi1,,,,Y,Y,HSK_1-Common-01,,,"""one/single/a (article)/as soon as/entire; whole; all; throughout/""""one"""" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit""",,161.0,Y
丁,3094,,ding1,,,,,,HSK_1-Common-01,,,"""male adult/the 4th of the 10 Heavenly Stems 天干[tian1 gan1]/fourth (used like """"4"""" or """"D"""")/small cube of meat or vegetable/(literary) to encounter/(archaic) ancient Chinese compass point: 195°/(chemistry) butyl""",,23.0,Y
七,8229,,qi1,,,,,,HSK_1-Common-01,,,seven/7,,99.0,Y
万,10384,,wan4,,,萬,,,HSK_1-Common-01,,,ten thousand/a great number,,136.0,Y
丈,12770,,zhang4,,,,,,HSK_1-Common-01,,,"measure of length, ten Chinese feet (3.3 m)/to measure/husband/polite appellation for an older male",,181.0,Y
三,9019,,san1,,,,,,HSK_1-Common-01,,,three/3,,115.0,Y
上,11,,shang4,,,,,,HSK_1-Common-01,,,(bound form) up;  upper,,117.0,Y
下,10873,,xia4,,,,,,HSK_1-Common-01,,,"down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action",,151.0,Y
不,191,,bu4,,,,,,HSK_1-Common-01,,,no;  not so/(bound form) not,,6.0,Y
与,12310,,yu3; yu4,,,與,,,HSK_1-Common-01,,,and/to give/together with; to take part in,,172.0,Y
专,13241,,zhuan1,,,專,,,HSK_1-Common-01,,,"for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized",,187.0,Y
个,3937,,ge4,,,個,,,HSK_1-Common-01,,,(classifier used before a noun that has no specific classifier)/(bound form) individual,,46.0,Y
个,3941,,ge4,,,箇,,,HSK_1-Common-01,,,variant of 個|个[ge4],,47.0,Y
中,1231,,zhong1; zhong4,,,,,,HSK_1-Common-01,,,"China/Chinese/surname Zhong; within/among/in/middle/center/while (doing sth)/during/(dialect) OK/all right; to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)  numerous",,185.0,Y
丰,3588,,feng1,,,,,,HSK_1-Common-01,,,luxuriant/buxom/variant of 豐|丰[feng1]/variant of 風|风[feng1]/appearance/charm,,36.0,Y
丰,3606,,feng1,,,豐,,,HSK_1-Common-01,,,abundant/plentiful/fertile/plump/great,,37.0,Y
丸,10348,,wan2,,,,,,HSK_1-Common-01,,,ball/pellet/pill,,135.0,Y
丹,2788,,dan1,,,,,,HSK_1-Common-01,,,red/pellet/powder/cinnabar,,21.0,Y
为,10449,,wei2,,,為,,,HSK_1-Common-01,,,as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/by (in the passive voice),,140.0,Y
为,10499,,wei4,,,為,,,HSK_1-Common-01,,,because of/for/to,,141.0,Y
乃,7553,,nai3,,,,,,HSK_1-Common-01,,,to be/thus/so/therefore/then/only/thereupon,,90.0,Y
久,5595,,jiu3,,,,,,HSK_1-Common-01,,,(long) time/(long) duration of time,,72.0,Y
么,7063,,ma5,,,麼,,,HSK_1-Common-01,,,interrogative final particle,,85.0,Y
么,7175,,me5,,,麼,,,HSK_1-Common-01,,,"suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc",,87.0,Y
义,11939,,yi4,,,義,,,HSK_1-Common-01,,,"justice/righteousness/meaning/foster (father etc)/adopted/artificial (tooth, limb etc)/relationship/friendship",,164.0,Y
之,12944,,zhi1,,,,,,HSK_1-Common-01,,,"(possessive particle, literary equivalent of 的[de5])/him/her/it",,183.0,Y
乌,10606,,wu1,,,烏,,,HSK_1-Common-01,,,crow/black,,144.0,Y
乏,3409,,fa2,,,,,,HSK_1-Common-01,,,short of/tired,,29.0,Y
乙,11859,,yi3,,,,Y,Y,HSK_1-Common-01,,,"""second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/second in order/letter """"B"""" or Roman """"II"""" in list """"A, B, C"""", or """"I, II, III"""" etc/second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1])/ethyl/bent/winding/radical in Chinese characters (Kangxi radical 5)/ancient Chinese compass point: 105°""",,162.0,Y
九,5597,,jiu3,,,,,,HSK_1-Common-01,,,nine/9,,73.0,Y
乞,8311,,qi3,,,,,,HSK_1-Common-01,,,to beg,,100.0,Y
也,293,,ye3,,,,,,HSK_1-Common-01,,,(adverb) also;  both ... and ... (before predicates only)/(literary) particle having functions similar to 啊[a5],,160.0,Y
习,10780,,xi2,,,習,,,HSK_1-Common-01,,,(bound form) to practice/to study/habit/custom,,150.0,Y
乡,10987,,xiang1,,,鄉,,,HSK_1-Common-01,,,country or countryside/native place/home village or town/township (PRC administrative unit),,153.0,Y
了,6340,,le5; liao3,,,,Y,,HSK_1-Common-01,,,"(completed action marker)/(modal particle indicating change of state, situation now)/(modal particle intensifying preceding clause); to finish/to achieve/variant of 瞭|了[liao3]/to understand clearly; (of eyes) bright/clear-sighted/to understand clearly",,79.0,Y
二,3396,,er4,,,,,,HSK_1-Common-01,,,two/2/(Beijing dialect) stupid,,28.0,Y
于,300,,yu2,,,於,,,HSK_1-Common-01,,,(of time or place) in;  at; to go/to take/sentence-final interrogative particle/variant of 於|于[yu2],,171.0,Y
亏,6108,,kui1,,,虧,,,HSK_1-Common-01,,,deficiency/deficit/luckily/it's lucky that.../(often ironically) fancy that...  to decompose/rotten/worn out/chaotic  messy/utterly  thoroughly/crappy  bad,,78.0,Y
云,12491,,yun2,,,,,,HSK_1-Common-01,,,(classical) to say,,175.0,Y
云,12507,,yun2,,,雲,,,HSK_1-Common-01,,,cloud/CL:朵[duo3],,176.0,Y
互,4578,,hu4,,,,,,HSK_1-Common-01,,,mutual,,55.0,Y
五,10628,,wu3,,,,,,HSK_1-Common-01,,,five/5,,146.0,Y
井,5519,,jing3,,,,,,HSK_1-Common-01,,,a well/CL:口[kou3]/neat/orderly,,71.0,Y
亡,10389,,wang2,,,,,,HSK_1-Common-01,,,to die/to lose/to be gone/to flee/deceased,,137.0,Y
人,8847,,ren2,,,,Y,Y,HSK_1-Common-01,,,"person; people/CL:個|个[ge4],位[wei4]",,108.0,Y
亿,11889,,yi4,,,億,,,HSK_1-Common-01,,,100 million,,165.0,Y
什,9272,,shen2,,,,,,HSK_1-Common-01,,,what,,121.0,Y
仁,8849,,ren2,,,,,,HSK_1-Common-01,,,humane/kernel,,109.0,Y
仅,5459,,jin3,,,僅,,,HSK_1-Common-01,,,barely/only/merely,,70.0,Y
仆,8188,,pu1; pu2,,,,,,HSK_1-Common-01,,,to fall forward/to fall prostrate; servant,,98.0,Y
仇,2381,,chou2,,,,,,HSK_1-Common-01,,,"hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)",,15.0,Y
今,5445,,jin1,,,,,,HSK_1-Common-01,,,"now/the present time/current/contemporary/this (day, year etc)",,67.0,Y
介,5428,,jie4,,,,,,HSK_1-Common-01,,,to introduce/to lie between/between/shell/armor,,66.0,Y
仍,2,,reng2,,,,,,HSK_1-Common-01,,,still;  yet/to remain/(literary) frequently,,112.0,Y
从,2622,,cong2,,,從,,,HSK_1-Common-01,,,from/through/via/to follow/to obey/to engage in (an activity)/never (in negative sentence)/(Taiwan pr. [zong4]) retainer/assistant/auxiliary/subordinate/related by common paternal grandfather or earlier ancestor,,17.0,Y
仓,1984,,cang1,,,倉,,,HSK_1-Common-01,,,barn/granary/storehouse/cabin/hold (in ship),,8.0,Y
儿,3373,,er2,,,兒,Y,Y,HSK_1-Common-01,,,child/son,,27.0,Y
