id,zi,z_back,z_up_left,z_upper,z_up_right,z_left,z_center,z_right,z_low_left,z_lower,z_low_right,z_front,note,z_lowleft,z_upright,z_lowright,z_upleft
86,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,
866,,,,,,,,,,,,,,,,,
428,㐬,,,云,,,,,,川,,,,,,,
841,㒸,,,丷,,,豕,,,,,,,,,,
76,㤭,,,,,忄,乔,,,,,,,,,,
812,䍧,,,,,牜,羊,,,,,,,,,,
246,䖝,,,丿,,,虫,,,,,,,,,,
126,世,,,,,,,,,,,,,,,,
635,丝,,,,,,,,,一,,,,,糸,,糸
892,丝,,,,,幺,,幺,,一,,,,,,,
141,为,,,,,,力,,,,,丶,,,,,丶
853,乳,,,,,,孚,乚,,,,,,,,,
110,乾,,,,,龺,乞,,,,,,,,,,
257,云,,,二,,,厶,,,,,,,,,,
384,亩,,,亠,,,田,,,,,,,,,,
537,亲,,,,,,立,,,木,,,,,,,
9,人,,,,,丿,,丶,,,,,,,,,
120,从,,,,,人,,人,,,,,,,,,
793,件,,,,,亻,牛,,,,,,,,,,
815,伏,,,,,亻,犬,,,,,,,,,,
48,众,,,人,,,,,,,,,,人,,人,
73,伽,,,,,亻,加,,,,,,,,,,
377,佃,,,,,亻,田,,,,,,,,,,
169,但,,,,,亻,旦,,,,,,,,,,
139,何,,,,,亻,可,,,,,,,,,,
13,佛,,,,,亻,弗,,,,,,,,,,
813,佯,,,,,亻,羊,,,,,,,,,,
354,佳,,,,,亻,圭,,,,,,,,,,
594,來,人,,,,,木,,,,,人,,,,,
599,俗,,,,,亻,谷,,,,,,,,,,
398,俚,,,,,亻,里,,,,,,,,,,
43,俱,,,,,亻,具,,,,,,,,,,
188,倡,,,,,亻,昌,,,,,,,,,,
264,假,,,,,亻,叚,,,,,,,,,,
738,催,,,,,亻,崔,,,,,,,,,,
39,僧,,,,,亻,曾,,,,,,,,,,
684,價,,,,,亻,賈,,,,,,,,,,
808,养,,,,,,羊,,,介,,,,,,,
285,冈,,,,,,乂,,,,,冂,,,,,
761,冤,,,冖,,,兔,,,,,,,,,,
442,冰,,,,,冫,水,,,,,,,,,,
862,冴,,,,,冫,牙,,,,,,,,,,
744,准,,,,,冫,隹,,,,,,,,,,
748,凤,,,,,,几,,,,,又,,,,,
749,凰,,,,,,几,,,,,皇,,,,,
328,出,,,山,,,山,,,,,,,,,,
327,击,,,土,,,山,,,,,,,,,,
54,利,,,,,,禾,刂,,,,,,,,,
213,前,,,䒑,,,,,,,,,,月,,刂,
523,劂,,,,,,厥,刂,,,,,,,,,
4,加,,,,,力,,口,,,,,,,,,
260,动,,,,,,云,力,,,,,,,,,
92,劫,,,,,去,,力,,,,,,,,,
561,化,,,,,亻,匕,,,,,,,,,,
205,匙,,,,,,匕,,,,,,,是,,,
42,十,,,,,,一,,,,,丨,,,,,
40,千,,,丿,,,十,,,,,,,,,,
563,华,,,,,,化,,,十,,,,,,,
3,卡,,,上,,,,,,下,,,stuck,,,,
83,卢,,,上,,,尸,,,,,,,,,,
351,卦,,,,,,圭,卜,,,,,,,,,
274,历,,,,,,力,,,,,,,,,,厂
395,厘,,,,,,里,,,,,,,,,,厂
522,厥,,,,,,欮,,,,,,,,,,厂
851,受,,,爫,,,冖,,,又,,,,,,,
516,台,,,厶,,,口,,,,,,,,,,
112,吊,,,口,,,巾,,,,,,,,,,
128,名,,,夕,,,口,,,,,,,,,,
347,吐,,,,,口,土,,,,,,,,,,
509,吕,,,口,,,,,,口,,,,,,,
823,吗,,,,,口,马,,,,,,,,,,
819,吠,,,,,口,犬,,,,,,,,,,
699,吧,,,,,口,巴,,,,,,,,,,
70,周,,,土,,,,,,口,,冂,,,,,
581,和,,,,,禾,口,,,,,,,,,,
624,咳,,,,,口,亥,,,,,,,,,,
511,哀,,,,,,衣,,,,,口,,,,,
510,品,,,口,,,,,,,,,,口,,口,
400,哩,,,,,口,里,,,,,,,,,,
764,唬,,,,,口,虎,,,,,,,,,,
739,唯,,,,,口,隹,,,,,,,,,,
192,唱,,,,,口,昌,,,,,,,,,,
800,善,,,羊,,,䒑,,,口,,,,,,,
732,喿,,,品,,,木,,,,,,,,,,
817,嗅,,,,,口,臭,,,,,,,,,,
309,器,,,,,,犬,,,,,,,口,口,口,口
508,噪,,,,,口,喿,,,,,,,,,,
734,噪,,,,,口,喿,,,,,,,,,,
117,因,,,,,,囗,,,,,大,,,,,
36,园,,,,,,囗,,,,,元,,,,,
498,囷,,,,,,禾,,,,,囗,,,,,
27,国,,,,,,囗,,,,,玉,,,,,
28,國,,,,,,囗,,,,,或,,,,,
137,在,,,,,丨,土,,,,,,,,,,𠂇
345,圭,,,土,,,,,,土,,,,,,,
357,地,,,,,土,也,,,,,,,,,,
362,址,,,,,土,止,,,,,,,,,,
361,均,,,,,土,匀,,,,,,,,,,
329,坴,,,土,,,八,,,土,,,,,,,
626,垅,,,,,土,龙,,,,,,,,,,
346,垚,,,土,,,,,,,,,,土,,土,
811,垟,,,,,土,羊,,,,,,,,,,
342,垠,,,,,土,艮,,,,,,,,,,
335,垦,,,,,,艮,,,土,,,,,,,
360,埃,,,,,土,矣,,,,,,,,,,
397,埋,,,,,土,里,,,,,,,,,,
364,域,,,,,土,或,,,,,,,,,,
368,堯,,,,,,垚,,,兀,,,,,,,
363,場,,,,,土,昜,,,,,,,,,,
359,塵,,,,,,鹿,,,土,,,,,,,
356,墓,,,,,,莫,,,土,,,,,,,
196,增,,,,,土,曾,,,,,,,,,,
88,墮,,,,,,隋,,,土,,,,,,,
379,备,,,夂,,,田,,,,,,,,,,
69,多,,,夕,,,,,,夕,,,,,,,
37,大,,,,,,人,,,,,一,,,,,
119,天,,,一,,,大,,,,,,,,,,
81,头,,,,,,大,,,,,,,,,,冫
90,夷,,,一,,,弓,,,,,人,,,,,
686,奋,,,,,,大,,,田,,,,,,,
736,奮,,,大,,,隹,,,田,,,,,,,
5,好,,,,,女,,子,,,,,,,,,
6,好,,,,,女,子,,,,,,,,,,
20,如,,,,,女,,口,,,,,,,,,
21,如,,,,,,女,口,,,,,,,,,
821,妈,,,,,女,马,,,,,,,,,,
856,妥,,,爫,,,女,,,,,,,,,,
517,始,,,,,女,台,,,,,,,,,,
593,委,,,禾,,,女,,,,,,,,,,
10,姦,,,女,,,,,,,,,,女,,女,
349,娃,,,,,女,圭,,,,,,,,,,
607,娄,,,,,,米,,,女,,,,,,,
549,娇,,,,,女,乔,,,,,,,,,,
399,娌,,,,,女,里,,,,,,,,,,
229,娠,,,,,女,辰,,,,,,,,,,
193,娼,,,,,女,昌,,,,,,,,,,
67,婆,,,波,,,女,,,,,,,,,,
68,婆,,,,,,波,,,女,,,,,,,
176,婚,,,,,女,昏,,,,,,,,,,
100,子,,,,,,了,,,,,一,,,,,
852,孚,,,爫,,,子,,,,,,,,,,
592,季,,,禾,,,子,,,,,,,,,,
33,孤,,,,,孑,瓜,,,,,,,,,,
448,孨,,,子,,,,,,,,,,子,,子,
622,孩,,,,,子,亥,,,,,,,,,,
447,孱,,,,,,孨,,,,,,,,,,尸
414,宝,,,宀,,,玉,,,,,,,,,,
834,家,,,宀,,,豕,,,,,,,,,,
231,宸,,,宀,,,辰,,,,,,,,,,
80,宾,,,宀,,,兵,,,,,,,,,,
371,富,,,宀,,,畐,,,,,,,,,,
177,寞,,,宀,,,莫,,,,,,,,,,
888,審,,,宀　,,,番,,,,,,,,,,
31,对,,,,,又,,寸,,,,,,,,,
98,寺,,,士,,,,,,寸,,,,,,,
350,封,,,,,,圭,寸,,,,,,,,,
286,尖,,,小,,,,,,大,,,,,,,
358,尘,,,,,,小,,,土,,,,,,,
206,尟,,,,,,少,,,,,,,是,,,
873,尾,,,,,,毛,,,,,,,,,,尸
202,层,,,,,,云,,,,,,,,,,尸
199,層,,,,,,曾,,,,,,,,,,尸
301,屿,,,,,山,与,,,,,,,,,,
298,岐,,,,,山,支,,,,,,,,,,
297,岔,,,,,,分,,,山,,,,,,,
308,岖,,,,,山,区,,,,,,,,,,
284,岗,,,山,,,冈,,,,,,,,,,
299,岚,,,山,,,风,,,,,,,,,,
300,岛,,,,,,鸟,,,,,山,,,,,
303,岩,,,山,,,石,,,,,,,,,,
294,岭,,,,,山,令,,,,,,,,,,
288,岱,,,代,,,,,,山,,,,,,,
296,岳,,,,,,丘,,,山,,,,,,,
287,峦,,,亦,,,,,,山,,,,,,,
295,峨,,,,,山,我,,,,,,,,,,
