zi,traditional,pinyin,category,strokes,meaning,example,u_id,is_active
一,,yī,,1,one,丁 万 上 下,1,Y
丨,,gǔn,,1,vertical line,个 中 丰 串 临,2,Y
丶,,zhǔ,,1,dot,丸 义 丹 为 主,3,Y
丿,,piě,,1,slash,乂 乃 乎,4,Y
乀,,piě,,1,slash,飞,5,Y
乁,,piě,,1,slash,,6,Y
乙,,yǐ,,1,second,九 乞 ,7,Y
乚,,yǐ,,1,second,乩 乱,8,Y
亅,,jué,,1,hook,了 争 事,9,Y
二,,èr,,2,two,亍 于 云 五 亚,10,Y
亠,,tóu,,2,lid,亡 亢 交 产 京,11,Y
人,,rén,,2,person,众丛,12,Y
亻,,rén,,2,person,你 他 仕 仙 例,13,Y
儿,,rén,,2,child / legs,兀 元 兄 先 克,14,Y
入,,rù,,2,enter,內 全 氽,15,Y
八,,bā,,2,eight,兮 公  兴,16,Y
丷,,bā,,2,eight,兰 关,17,Y
冂,,jiōng,,2,down box,内 冋 再 冏 最,18,Y
冖,,mì,,2,cover,写 军 农,19,Y
冫,,bīng,,2,ice,冰 况 冼 凊,20,Y
几,,jǐ,,2,table,凡 凤,21,Y
凵,,qiǎn,,2,open box,凶 凸 凹 出 击,22,Y
刂,,dāo,,2,knife,划 刚,23,Y
刁,,dāo,,2,knife,,24,Y
刀,,dāo,,2,knife,刅 分 切 ,25,Y
力,,lì,,2,strength / power,劝 办 加 务 动,26,Y
勹,,bāo,,2,wrap / embrace,勺 勾 匀 包,27,Y
匕,,bǐ,,2,dagger,化 北 匙,28,Y
匚,,fāng,,2,right open box,匛 匤 匡 匢 匜,29,Y
匸,,xì,,2,hiding enclosure,匹 区 医 匼,30,Y
十,,shí,,2,ten,千 升 午 半,31,Y
卜,,bǔ,,2,divination,卟 占 卡 卢 卤,32,Y
卩,,jié,,2,seal/joint,卫 卬 卯 印 却,33,Y
㔾,,jié,,2,seal ,,34,Y
厂,,hǎn,,2,yard / factory,厄 厅 历 厉,35,Y
