zi,pinyin,alias,traditional,as_part,is_radical,nstrokes,desc_cn,zi_en,desc_en,layer,u_id,is_active,sort_val
右,you4,,,,,,,,(bound form) right;  right-hand side/(bound form) (politics) right of center/(bound form) (old) west/(literary) the right side as the side of precedence,HSK_1-Common-02,167,Y,347.0
予,yu3,,,,,,,,(literary) to give,HSK_1-Common-02,12294,Y,348.0
玉,yu4,,,,,,,,jade,HSK_1-Common-02,12346,Y,349.0
乐,yue4,,樂,,,,,,music,HSK_1-Common-02,12467,Y,350.0
允,yun3,,,,,,,,just/fair/to permit/to allow,HSK_1-Common-02,12508,Y,351.0
孕,yun4,,,,,,,,pregnant,HSK_1-Common-02,12513,Y,352.0
轧,zha2,,軋,,,,,,to roll (steel),HSK_1-Common-02,12674,Y,353.0
占,zhan1,,,,,,,,to observe/to divine,HSK_1-Common-02,12711,Y,354.0
占,zhan4,,,,,,,,to take possession of/to occupy/to take up,HSK_1-Common-02,12741,Y,355.0
仗,zhang4,,,,,,,,weaponry/to hold (a weapon)/to wield/to rely on/to depend on/war/battle  swollen  bloated,HSK_1-Common-02,12771,Y,356.0
召,zhao4,,,,,,,,to call together/to summon/to convene/temple or monastery (used in place names in Inner Mongolia),HSK_1-Common-02,12798,Y,357.0
正,zheng1,,,,,,,,first month of the lunar year,HSK_1-Common-02,12919,Y,358.0
正,zheng4,,,,,,,,straight/upright/proper/main/principal/to correct/to rectify/exactly/just (at that time)/right (in that place)/(math.) positive,HSK_1-Common-02,12937,Y,359.0
只,zhi1,,秖,,,,,,grain that has begun to ripen,HSK_1-Common-02,12959,Y,360.0
只,zhi1,,隻,,,,,,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",HSK_1-Common-02,12968,Y,361.0
汁,zhi1,,,,,,,,juice,HSK_1-Common-02,12955,Y,362.0
只,zhi3,,,,,,,,only/merely/just/but,HSK_1-Common-02,12996,Y,363.0
主,zhu3,,,,,,,,owner/master/host/individual or party concerned/God/Lord/main/to indicate or signify/trump card (in card games),HSK_1-Common-02,13186,Y,364.0
仔,zi3,,,,,,,,meticulous/(of domestic animals or fowls) young,HSK_1-Common-02,13375,Y,365.0
左,zuo3,,,,,,,,left/the Left (politics)/east/unorthodox/queer/wrong/differing/opposite/variant of 佐[zuo3],HSK_1-Common-02,13508,Y,366.0
百,bai3,,,,,,,,hundred/numerous/all kinds of,HSK_1-Common-03,1437,Y,367.0
毕,bi4,,畢,,,,,,the whole of/to finish/to complete/complete/full/finished,HSK_1-Common-03,1676,Y,368.0
闭,bi4,,閉,,,,,,to close/to stop up/to shut/to obstruct,HSK_1-Common-03,1705,Y,369.0
冰,bing1,,,,,,,,ice/CL:塊|块[kuai4]/to chill sth/(of an object or substance) to feel cold/(of a person) cold/unfriendly/(slang) methamphetamine,HSK_1-Common-03,1818,Y,370.0
并,bing4,,併,,,,,,to combine/to amalgamate;  and/furthermore/also/together with/(not) at all/simultaneously/to combine/to join/to merge,HSK_1-Common-03,1843,Y,371.0
产,chan3,,產,,,,,,to give birth/to reproduce/to produce/product/resource/estate/property,HSK_1-Common-03,2123,Y,372.0
场,chang2,,場,,,,,,"threshing floor/classifier for events and happenings: spell, episode, bout",HSK_1-Common-03,2150,Y,373.0
场,chang3,,場,,,,,,large place used for a specific purpose/stage/scene (of a play)/classifier for sporting or recreational activities/classifier for number of exams,HSK_1-Common-03,2165,Y,374.0
