zi,pinyin,alias,traditional,as_part,is_radical,nstrokes,desc_cn,zi_en,desc_en,layer,u_id,is_active,sort_val
八,ba1,,,Y,Y,,,,eight; 8,HSK_1-Common-01,314,Y,1.0
贝,bei4,,貝,Y,Y,4,,,cowrie/shellfish/currency (archaic),HSK_1-Common-01,1574,Y,2.0
卜,bo5,,蔔,Y,Y,2,,,see 蘿蔔|萝卜[luo2 bo5],HSK_1-Common-01,1911,Y,5.0
叉,cha3,,,Y,,,,,to diverge/to open (as legs),HSK_1-Common-01,2061,Y,11.0
长,chang2,,長,Y,Y,,,,length/long/forever/always/constantly,HSK_1-Common-01,2160,Y,12.0
厂,chang3,,廠,Y,Y,,,,factory/yard/depot/workhouse/works/(industrial) plant,HSK_1-Common-01,2167,Y,13.0
车,che1,,車,Y,Y,,,,car/vehicle/CL:輛|辆[liang4]/machine/to shape with a lathe/Kangxi radical 159,HSK_1-Common-01,2196,Y,14.0
寸,cun4,,,Y,Y,,,,a unit of length/inch/thumb,HSK_1-Common-01,2699,Y,18.0
大,da4,,,Y,Y,,,,big;  large,HSK_1-Common-01,224,Y,19.0
大,dai4,,,Y,Y,,,,see 大夫[dai4 fu5],HSK_1-Common-01,2767,Y,20.0
刀,dao1,,,Y,Y,,,,knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs,HSK_1-Common-01,2865,Y,22.0
斗,dou3,,,Y,Y,,,,dry measure for grain equal to ten 升[sheng1] or one-tenth of a 石[dan4]/decaliter/peck/cup or dipper shaped object/old variant of 陡[dou3],HSK_1-Common-01,3152,Y,25.0
斗,dou4,,鬥,Y,Y,,,,to fight/to struggle/to condemn/to censure/to contend/to put together/coming together,HSK_1-Common-01,3165,Y,26.0
儿,er2,,兒,Y,Y,,,,child/son,HSK_1-Common-01,3373,Y,27.0
