zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
么,7063,丿,,,,厶,,,,,,,2023-12-28 14:54:46,,Y,,from HSK,interrogative final particle
么,7175,丿,,,,厶,,,,,,,2024-01-14 14:28:57,,Y,,from HSK,"suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc"
侧,2012,,亻,,,则,,,,,,,2024-01-25 22:56:54,,Y,,from HSK,the side/to incline towards/to lean/inclined/lateral/side
侧,12701,,亻,,,则,,,,,,,2024-01-26 16:38:40,,Y,,from HSK,lean on one side
便,1738,,亻,,,更,,,,,,,2024-01-26 23:31:01,,Y,,from HSK,plain/informal/suitable/convenient/opportune/to urinate or defecate/equivalent to 就[jiu4]: then/in that case/even if/soon afterwards
便,8074,,亻,,,更,,,,,,,2024-01-27 00:10:34,,Y,,from HSK,used in 便宜|便宜[pian2 yi5]/used in 便便[pian2 pian2]/used in 便嬛[pian2 xuan1]
倔,145,,亻,,,屈,,,,,,,2024-01-28 11:36:21,,Y,,from HSK,gruff;  surly
倔,5756,,亻,,,屈,,,,,,,2024-01-28 11:56:30,,Y,,from HSK,used in 倔強|倔强[jue2 jiang4]
倘,146,,亻,,,尚,,,,,,,2024-01-27 08:34:27,,Y,,from HSK,if;  supposing
倘,2148,,亻,,,尚,,,,,,,2024-01-27 08:37:47,,Y,,from HSK,used in 倘佯[chang2 yang2]
冲,2365,,冫,,,中,,,,,,,2024-01-15 12:57:14,,Y,,from HSK,thoroughfare/to go straight ahead/to rush/to clash
冲,2372,,冫,,,中,,,,,,,2024-01-15 12:58:18,,Y,,from HSK,powerful/vigorous/pungent/towards/in view of
划,4609,,,,, 戈,,,刂,,,,2024-01-15 13:09:43,,Y,,from HSK,to cut/to slash/to scratch (cut into the surface of sth)/to strike (a match)
划,4621,,,,,戈,,,刂,,,,2024-01-15 13:10:17,,Y,,from HSK,to delimit/to transfer/to assign/to plan/to draw (a line)/stroke of a Chinese character
创,2487,,,,,仓,,,刂,,,,2024-01-15 12:58:41,,Y,,from HSK,a wound/cut/injury/trauma
创,2503,,,,,仓,,,刂,,,,2024-01-15 12:59:06,,Y,,from HSK,to begin/to initiate/to inaugurate/to start/to create
刨,1529,,,,,包,,,刂,,,,2024-01-27 23:42:48,,Y,,from HSK,carpenter's plane/to plane (woodwork)/to shave off/to peel (with a potato peeler etc)
