Zi,Category
水,"社会 Social-Activity, 自然五行 Nature 5 Elements"
木,自然五行 Nature 5 Elements
火,自然五行 Nature 5 Elements
土,自然五行 Nature 5 Elements
金,自然五行 Nature 5 Elements
天,自然五行 Nature 5 Elements
地,自然五行 Nature 5 Elements
日,自然五行 Nature 5 Elements
月,自然五行 Nature 5 Elements
星,自然五行 Nature 5 Elements
风,自然五行 Nature 5 Elements
雨,自然五行 Nature 5 Elements
川,自然五行 Nature 5 Elements
山,自然五行 Nature 5 Elements
石,自然五行 Nature 5 Elements
光,自然五行 Nature 5 Elements
电,自然五行 Nature 5 Elements
气,自然五行 Nature 5 Elements
声,自然五行 Nature 5 Elements
云,自然五行 Nature 5 Elements
古,时空 Space-Time
今,时空 Space-Time
历,时空 Space-Time
史,时空 Space-Time
久,时空 Space-Time
年,时空 Space-Time
春,时空 Space-Time
夏,时空 Space-Time
秋,时空 Space-Time
冬,时空 Space-Time
世,时空 Space-Time
界,时空 Space-Time
宇,时空 Space-Time
宙,时空 Space-Time
空,时空 Space-Time
东,时空 Space-Time
西,时空 Space-Time
南,时空 Space-Time
北,时空 Space-Time
中,时空 Space-Time
米,"植物 Plant, 度量单位 Units-of-Measure"
麦,植物 Plant
豆,植物 Plant
瓜,植物 Plant
果,植物 Plant
根,植物 Plant
芽,植物 Plant
枝,植物 Plant
叶,植物 Plant
茎,植物 Plant
松,植物 Plant
柏,植物 Plant
杉,植物 Plant
杨,植物 Plant
柳,植物 Plant
花,植物 Plant
草,植物 Plant
竹,植物 Plant
树,植物 Plant
林,植物 Plant
猴,动物 (十二生肖) Animal
走,动物 (十二生肖) Animal
禽,动物 (十二生肖) Animal
飞,"贸易 Trade, 动物 (十二生肖) Animal"
灵,动物 (十二生肖) Animal
鸟,动物 (十二生肖) Animal
鸡,动物 (十二生肖) Animal
虫,动物 (十二生肖) Animal
鱼,动物 (十二生肖) Animal
蛇,动物 (十二生肖) Animal
龙,动物 (十二生肖) Animal
豕,动物 (十二生肖) Animal
猪,动物 (十二生肖) Animal
犬,动物 (十二生肖) Animal
狗,动物 (十二生肖) Animal
牛,动物 (十二生肖) Animal
马,动物 (十二生肖) Animal
羊,动物 (十二生肖) Animal
虎,动物 (十二生肖) Animal
鹿,动物 (十二生肖) Animal
兔,动物 (十二生肖) Animal
鼠,动物 (十二生肖) Animal
象,动物 (十二生肖) Animal
头,人体 Human Body
尾,人体 Human Body
手,人体 Human Body
足,"人体 Human Body, 娱乐 Entertainment"
颈,人体 Human Body
脑,人体 Human Body
骨,人体 Human Body
血,人体 Human Body
肉,人体 Human Body
心,人体 Human Body
眉,人体 Human Body
目,人体 Human Body
耳,人体 Human Body
鼻,人体 Human Body
口,人体 Human Body
牙,人体 Human Body
齿,人体 Human Body
臼,人体 Human Body
舌,人体 Human Body
唇,人体 Human Body
体,人体 Human Body
存,人体 Human Body
皮,人体 Human Body
毛,人体 Human Body
身,人体 Human Body
尸,人体 Human Body
亡,人体 Human Body
死,人体 Human Body
又,"人体 Human Body, 娱乐 Entertainment"
生,人体 Human Body
神,社会 Society
仙,社会 Society
圣,社会 Society
凡,社会 Society
人,社会 Society
君,社会 Society
主,社会 Society
王,社会 Society
子,"社会 Society, 数理 Math-Logic"
臣,社会 Society
父,社会 Society
母,社会 Society
儿,社会 Society
女,社会 Society
亲,社会 Society
兄,社会 Society
弟,社会 Society
姐,社会 Society
妹,社会 Society
情,社会 Society
朋,社会 Society
友,社会 Society
当,社会 Society
自,"社会 Society, 贸易 Trade"
己,"社会 Society, 数理 Math-Logic"
知,"社会 Society, 颜色-比较 Color-Comparative"
不,"社会 Society, 社会 Social-Activity, 抽象 Abstract"
易,社会 Society
寻,"社会 Society, 数理 Math-Logic"
士,"社会 Society, 国防 Defense"
大,"社会 Society, 颜色-比较 Color-Comparative"
