zi,is_zi,n_strokes,id_kangxi,meaning,pinyin,term,examples,variant,n_frequency,category
丨,0,1,2,line,gùn / gǔn,,十、中、串、丰,,,
丶,0,1,3,dot,zhǔ,丶字旁,丸、凡、丹、户,,,
丿,0,1,,slash,piě,,乂、乃、久、八,,,
乀,0,1,,slash,piě,,乂、乃、久、八,,,
乁,0,1,,slash,piě,,,,,
乚,0,1,,second,yǐ,,九、乞、也,,,
乛,0,1,,second,yǐ,,九、乞、也,,,
亅,0,1,6,hook,gōu / jué,,了、矛、事,,,
一,1,1,1,one,yī,一字旁,王、丁、七、三,丶 丨 亅 丿 乀 ⺄ 乁 乙 乚 乛,,
乙,1,1,,second,yǐ,,九、乞、也,,,
⺀,0,2,,,,,,,,
丷,0,2,,eight,bā,,公、六、兮、穴,,,
乂,0,2,,,,,,,,
龴,0,2,,,,,,,,
亠,0,2,8,lid,tóu,六字头,方、亡、亢、交,,,
亻,0,2,,man / person,rén,单立人 单人旁,你、什、仁、仇,,,
冂,0,2,13,wide / down box,jiǒng / jiōng,同字匡,冇、冊、冉、肉,,,
冖,0,2,14,cover / cloth cover,mì,秃宝盖,冗、冠、冥、運,,,
冫,0,2,15,ice / icy water,bīng,两点水,冬、冰、冶、凉,,,
凵,0,2,17,receptacle / open box,qū / qǔ / kǎn,凶字框,凶、凸、凹、齒,,,
⺈,0,2,18,blade / knife,dāo / biāo,刀字旁,,,,
刂,0,2,18,blade / knife,dāo / biāo,立刀旁,刁、解、分、劍,,,
勹,0,2,20,wrap,bāo,包字头,包、勺、勻、勾,,,
匚,0,2,22,right open box,fāng,医字框,匿、區、巨、匠,,,
匸,0,2,23,hiding enclosure,xǐ / xǐ/xì,,亡、匹、匼、匽,,,
卩,0,2,,seal (device) ,jié,单耳刀,即、卬、卷、夗,㔾,,
㔾,0,2,,seal (device) / seal,jié,单耳刀,即、卬、卷、夗,,,
⺁,0,2,,,,,,,,
厶,0,2,28, private,sī,私字旁,台、公、去、參、,,,
讠,0,2,,speech,yán,,,,,
丁,1,2,,,,,,,,
七,1,2,,seven,,,,,,
乃,1,2,,,,,,,,
九,1,2,,nine,,,,,,
了,1,2,,,,,,,,
二,1,2,7,two,ér / èr,,貳、于、云、些,亠 冫 丷 刂 龴,,
人,1,2,,man / person,rén,单立人 单人旁,你、什、仁、仇,亻,,
儿,1,2,10,son ,rén / ér,,兒、兀、允、元,,,
入,1,2,11,enter,rù,入字旁,內、全、兩、汆,,,
八,1,2,,eight,bā,,公、六、兮、穴,丷,,
几,1,2,16, table,jī / jǐ,几字旁,風、殳、凡、凱,,,
刀,1,2,,knife,dāo,刀字旁 立刀旁,刁、解、分、劍,刂 ⺈,,
刁,1,2,,,,,,,,
力,1,2,19,strength / power,lì / li,,加、功、劣、男,,,
匕,1,2,21,dagger / spoon,bǐ,,化、北、匙、比,,,
十,1,2,24,ten,shí,,千、半、卅、升,,,
卜,1,2,25,divination,bǔ,,下、上、卡、占,,,
厂,1,2,27,cliff,hǎn[1] / hǎn,,厄、原、厚、厰,,,
又,1,2,29,hand / again,yòu,,叉、及、友、取,攴 攵,,
亍,0,3,,,,,,,,
兀,0,3,,,,,,,,
夂,0,3,34,go,zhǐ,,各、冬、夆、愛,,,
夊,0,3,35,go slowly,suī,,夌、复、夏,,,
宀,0,3,40,roof,mián,宝盖头,家、安、寧、它,,,
⺌,0,3,,small,xiǎo,当字头,少、尖、當、栄,,,
⺍,0,3,,small,xiǎo,当字头,少、尖、當、栄,,,
尢,0,3,,lame,wāng,,尤、尷、尬、尩,,,
屮,0,3,45,sprout,chè,,艸、屯、屰、頓,,,
巛,0,3,,river,chuān,,川、州、順、災,,,
廴,0,3,54,long stride,yǐn,建之旁,廵、廷、延,,,
彐,0,3,,garment / snout,jì / tiáo,,彔、彖、彗,,,
彑,0,3,,snout,jì,,彔、彖、彗,,,
彡,0,3,59,hair / bristle,shān,三撇儿,形、彤、彥,,,
