zi,is_zi,id_kangxi,meaning,pinyin,n_strokes,term,examples,variant,n_frequency,category,sub_category
丨,0,2.0,line,gùn / gǔn,1,,十、中、串、丰,,25,radical,
丶,0,3.0,dot,zhǔ,1,丶字旁,丸、凡、丹、户,,26,radical,
丿,0,,slash,piě,1,,乂、乃、久、八,,40,radical,
乀,0,,slash,piě,1,,乂、乃、久、八,,3,radical,
乁,0,,slash,piě,1,,,,1,radical,
乚,0,,second,yǐ,1,,九、乞、也,,9,radical,
乛,0,,second,yǐ,1,,九、乞、也,,3,radical,
亅,0,6.0,hook,gōu / jué,1,,了、矛、事,,1,radical,
一,1,1.0,one,yī,1,一字旁,王、丁、七、三,丶 丨 亅 丿 乀 ⺄ 乁 乙 乚 乛,73,数理-计算,number
乙,1,,second,yǐ,1,,九、乞、也,,11,数理-天干,
⺀,0,,,,2,,,,0,radical,
丷,0,,eight,bā,2,,公、六、兮、穴,,26,radical,
乂,0,,,,2,,,,23,radical,
龴,0,,,,2,,,,2,radical,
亠,0,8.0,lid,tóu,2,六字头,方、亡、亢、交,,27,radical,
亻,0,,man / person,rén,2,单立人 单人旁,你、什、仁、仇,,213,人-,human
冂,0,13.0,wide / down box,jiǒng / jiōng,2,同字匡,冇、冊、冉、肉,,17,radical,
冖,0,14.0,cover / cloth cover,mì,2,秃宝盖,冗、冠、冥、運,,35,radical,
冫,0,15.0,ice / icy water,bīng,2,两点水,冬、冰、冶、凉,,29,天文-水,
凵,0,17.0,receptacle / open box,qū / qǔ / kǎn,2,凶字框,凶、凸、凹、齒,,7,radical,
⺈,0,18.0,blade / knife,dāo / biāo,2,刀字旁,,,0,,
刂,0,18.0,blade / knife,dāo / biāo,2,立刀旁,刁、解、分、劍,,45,社会-,tool
勹,0,20.0,wrap,bāo,2,包字头,包、勺、勻、勾,,14,radical,
匚,0,22.0,right open box,fāng,2,医字框,匿、區、巨、匠,,14,社会-,tool
匸,0,23.0,hiding enclosure,xǐ / xǐ/xì,2,,亡、匹、匼、匽,,5,radical,
卩,0,,seal (device) ,jié,2,单耳刀,即、卬、卷、夗,㔾,8,社会-,
㔾,0,,seal (device) / seal,jié,2,单耳刀,即、卬、卷、夗,,6,社会-,
⺁,0,,,,2,,,,0,radical,
厶,0,28.0, private,sī,2,私字旁,台、公、去、參、,,25,概念-,
讠,0,,speech,yán,2,,,,102,人-生理,mouth
丁,1,,,,2,,,,15,数理-天干,
七,1,,seven,,2,,,,4,数理-计算,number
乃,1,,,,2,,,,8,概念-,
九,1,,nine,,2,,,,16,数理-计算,number
了,1,,,,2,,,,5,概念-,
二,1,7.0,two,ér / èr,2,,貳、于、云、些,亠 冫 丷 刂 龴,20,数理-计算,number
人,1,,man / person,rén,2,单立人 单人旁,你、什、仁、仇,亻,46,人-,human
儿,1,10.0,son ,rén / ér,2,,兒、兀、允、元,,12,人-伦理,family
入,1,11.0,enter,rù,2,入字旁,內、全、兩、汆,,1,概念-,
八,1,,eight,bā,2,,公、六、兮、穴,丷,28,数理-计算,number
几,1,16.0, table,jī / jǐ,2,几字旁,風、殳、凡、凱,,24,社会-,
刀,1,,knife,dāo,2,刀字旁 立刀旁,刁、解、分、劍,刂 ⺈,32,社会-,tool
刁,1,,,,2,,,,1,社会-,tool
力,1,19.0,strength / power,lì / li,2,,加、功、劣、男,,53,概念-,
匕,1,21.0,dagger / spoon,bǐ,2,,化、北、匙、比,,20,社会-,military
十,1,24.0,ten,shí,2,,千、半、卅、升,,56,数理-计算,number
