link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
L-M-R,3,䅓,13759,,禾,,,句,,,又,,,,2024-01-21 19:14:33,䅩䅓也。从𥝌从又，句聲。又者，从丑省。一曰木名。,Y,,,
L-M-R,3,䜌,13787,,糸,,,言,,,糸,,,,2024-01-21 21:50:48,,Y,,,
L-M-R,3,册,2013,,⺆,,,一,,,⺆,,,,2025-02-16 12:01:33,串,Y,,from HSK,book/booklet/classifier for books
L-M-R,3,巫,10599,,人,,,工,,,人,,,,2024-01-28 00:01:19,,Y,,from HSK,witch/wizard/shaman/also pr. [wu2]
L-M-R,3,徹,13639,,彳,,,育,,,攵,,,,2024-01-21 08:37:14,通也。从彳从攴从育。,Y,,,
L-M-R,3,抛,7921,,扌,,,九,,,力 ,,,,2024-01-16 23:43:41,棄也。从手从尤从力，或从手𠠵聲。案：《左氏傳》通用摽。《詩》：“摽有梅。”摽，落也。義亦同。,Y,8064,in HSK,
L-M-R,3,掰,1429,,手,,,分,,,手,,,,2024-01-28 12:47:02,,Y,,from HSK,to break off or break open sth with one's hands/(fig.) to break off (a relationship)
L-M-R,3,撤,24,,扌,,,育,,,攵,,,,2024-01-27 21:26:30,,Y,,from HSK,to remove;  to take away
L-M-R,3,斑,1453,,王,,,文,,,王,,,,2024-01-27 11:57:55,,Y,,from HSK,spot/colored patch/stripe/spotted/striped/variegated
L-M-R,3,断,3216,,丨 一,,,米,,,斤,,,,2024-01-27 12:08:50,,Y,,from HSK,to break/to snap/to cut off/to give up or abstain from sth/to judge/(usu. used in the negative) absolutely/definitely/decidedly
L-M-R,3,棥,13836,,木,,,爻,,,木,,,,2024-01-25 02:10:26,,Y,,,
L-M-R,3,楙,7159,,木,,,矛,,,木,,,,2024-01-20 05:27:16,木盛也。从林矛聲。,Y,3835,,
L-M-R,3,狱,12344,,犭,,,讠,,,犬,,,,2024-01-27 01:33:10,,Y,,from HSK,prison
L-M-R,3,獄,13548,,犭,,,言,,,犬,,,,2024-01-20 17:59:30,,Y,,,
L-M-R,3,班,1455,,王,,,刂,,,王,,,,2024-01-21 08:55:45,分瑞玉。从𤤴从刀。,Y,222,in HSK,
L-M-R,3,瓣,1475,,辛,,,瓜,,,辛,,,,2024-01-27 22:42:01,瓜中實。从瓜辡聲。,Y,4530,in HSK,
L-M-R,3,粥,13117,,弓,,,米,,,弓,,,,2024-01-27 19:38:27,,Y,,from HSK,congee/gruel/porridge/CL:碗[wan3]
L-M-R,3,继,5019,,纟,,,𠃊,,,米,,,,2024-01-27 10:13:15,,Y,,from HSK,to continue/to follow after/to go on with/to succeed/to inherit/then/afterwards
L-M-R,3,讎,13664,,隹,,,言,,,隹,,,,2024-01-21 09:29:02,猶𧭭也。从言雔聲。,Y,,,
L-M-R,3,辙,12837,,车,,,育,,,攵,,,,2024-02-04 18:40:49,,Y,,from HSK,"rut; track of a wheel (Taiwan pr. [che4])/(coll.) the direction of traffic/a rhyme (of a song, poem etc)/(dialect) (usu. after 有[you3] or 沒|没[mei2]) way; idea"
L-M-R,3,辦,13742,,辛,,,力,,,辛,,,,2024-01-21 18:35:56,致力也。从力辡聲。,Y,,,
L-M-R,3,辨,1749,,辛,,,丨丿,,,辛,,,,2024-01-27 22:45:18,,Y,,from HSK,to distinguish/to recognize
L-M-R,3,辩,1751,,辛,,,讠,,,辛,,,,2024-01-27 22:45:53,,Y,,from HSK,to dispute/to debate/to argue/to discuss
L-M-R,3,辫,1750,,辛,,,纟,,,辛,,,,2024-01-27 22:45:33,,Y,,from HSK,a braid or queue/to plait
L-M-R,3,陋,6860,,阝,,,丨 一,,,丙,,,,2024-01-28 10:21:00,,Y,,from HSK,low/humble/plain/ugly/mean/vulgar
L-M-R,3,鸿,4495,,氵,,,工,,,鸟,,,,2024-01-28 12:55:00,,Y,,from HSK,eastern bean goose/great/large  alarmed (variant of 惶[huang2])
L-M-R,3,𧮓,13662,,讠,,,鬼,,,隹,,,,2024-01-21 09:25:49,譟也。从言魋聲。,Y,,,
