link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
L-R,2,㒸,9734,,八,,,,,,豕,,,,,从意也。从八豕聲。,Y,712,,
L-R,2,㓞,13898,,丰,,,,,,刀,,,,2024-01-28 10:31:51,,Y,,,
L-R,2,㕙,13858,,夋,,,,,,兔,,,,2024-01-26 22:59:24,狡兔也。从兔夋聲。,Y,,,
L-R,2,㱾,3784,,亥,,,,,,殳,,,,2025-02-16 12:50:05,㱾改，大剛卯也。以逐精鬼。从殳亥聲。,Y,1967,,
L-R,2,㳄,13690,,氵,,,,,,欠,,,,2024-01-21 12:36:52,慕欲口液也。从欠从水。凡㳄之屬皆从㳄。,Y,,,
L-R,2,䖵,13816,,虫,,,,,,虫,,,,2024-01-23 22:05:03,,Y,,,
L-R,2,䗥,13403,,虫,,,,,,從,,,,,螉䗥也。从虫從聲。,Y,8748,,
L-R,2,丞,2255,,卩,,,,,,山,,,,,翊也。从廾从卩从山。山高，奉承之義。,Y,1750,,
L-R,2,乂,11883,,丿,,,,,,乀,,,,,芟艸也。从丿从乀，相交。,Y,8319,,
L-R,2,乱,6984,,舌,,,,,,乚,,,,2024-01-23 22:42:17,,Y,,from HSK,in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary
L-R,2,乳,8941,,孚,,,,,,乙,,,,2024-01-26 22:50:27,人及鳥生子曰乳，獸曰産。从孚从𠃉。𠃉者，玄鳥也。《明堂月令》：“玄鳥至之日，祠于高禖，以請子。”故乳从𠃉。請子必以𠃉至之日者，𠃉，春分來，秋分去，開生之候鳥，帝少昊司分之官也。,Y,7665,in HSK,
L-R,2,仍,2,,亻,,,,,,乃,,,,,因也。从人乃聲。,Y,5025,in HSK,
L-R,2,从,2622,,人,,,,,,人,,,,2024-01-14 12:56:54,,Y,,from HSK,from/through/via/to follow/to obey/to engage in (an activity)/never (in negative sentence)/(Taiwan pr. [zong4]) retainer/assistant/auxiliary/subordinate/related by common paternal grandfather or earlier ancestor
L-R,2,仝,10139,,入,,,,,,工,,,,,完也。从入从工。,Y,3268,,
L-R,2,侵,8548,,亻,,,,,彐,冖,又,,,2025-02-16 11:28:15,,Y,,from HSK,to invade/to encroach/to infringe/to approach
L-R,2,倝,3833,,旦,,,,,,㫃,,,,,日始出，光倝倝也。从旦㫃聲。凡倝之屬皆从倝。,Y,4258,,
L-R,2,傍,1491,,亻,,,,,,旁,,,,2025-02-16 12:35:38,近也。从人㫄聲。,Y,5061,in HSK,
L-R,2,傻,9096,,亻,,,,,囟,八,夂,,,2025-02-16 12:18:57,,Y,,from HSK,foolish
L-R,2,兢,5498,,克,,,,,,克,,,,2024-01-28 14:57:22,,Y,,from HSK,to be fearful/apprehensive
L-R,2,冕,7335,,冃,,,,,,免,,,,,大夫以上冠也。邃延、垂瑬、紞纊。从冃免聲。古者黃帝初作冕。,Y,4784,in HSK,
L-R,2,冢,13093,,勹,,,,,,豖,,,,,高墳也。从勹豖聲。,Y,5785,,
L-R,2,冣,5684,,冂,,,,,,取,,,,,積也。从冂从取，取亦聲。,Y,4777,,
L-R,2,凊,277,,仌,,,,,,青,,,,,寒也。从仌青聲。,Y,7473,,
L-R,2,凋,3038,,仌,,,,,,周,,,,,半傷也。从仌周聲。,Y,7477,,
L-R,2,凓,6457,,仌,,,,,,栗,,,,,寒也。从仌栗聲。,Y,7485,,
L-R,2,凔,1986,,仌,,,,,,倉,,,,,寒也。从仌倉聲。,Y,7480,,
L-R,2,処,2441,,几,,,,,,夂,,,,,止也。得几而止。从几从夂。,Y,9423,,
L-R,2,凯,5853,,岂,,,,,,几,,,,2024-01-26 16:14:01,,Y,,from HSK,triumphant/victorious/chi (Greek letter Χχ)
L-R,2,刎,10543,,刀,,,,,,勿,,,,,剄也。从刀勿聲。,Y,2796,,
L-R,2,刓,10349,,刀,,,,,,元,,,,,剸也。从刀元聲。一曰齊也。,Y,2782,,
L-R,2,刖,12459,,刀,,,,,,月,,,,,絕也。从刀月聲。,Y,2778,,
L-R,2,刜,3657,,刀,,,,,,弗,,,,,擊也。从刀弗聲。,Y,2779,,
L-R,2,刲,6103,,刀,,,,,,圭,,,,,刺也。从刀圭聲。《易》曰：“士刲羊。”,Y,2775,,
L-R,2,刳,6025,,刀,,,,,,夸,,,,,判也。从刀夸聲。,Y,2759,,
L-R,2,刵,3398,,刀,,,,,,耳,,,,,斷耳也。从刀从耳。,Y,2787,,
L-R,2,剜,10343,,刀,,,,,,宛,,,,,削也。从刀宛聲。,Y,2797,,
L-R,2,剞,4871,,刀,,,,,,奇,,,,,剞𠜾，曲刀也。从刀奇聲。,Y,2738,,
L-R,2,剟,3261,,刀,,,,,,叕,,,,,刊也。从刀叕聲。,Y,2762,,
L-R,2,剡,11566,,刀,,,,,,炎,,,,,銳利也。从刀炎聲。,Y,2741,,
L-R,2,剺,6393,,刀,,,,,,𠩺,,,,,剥也。劃也。从刀𠩺聲。,Y,2767,,
L-R,2,剽,8086,,刀,,,,,,𤐫,,,,,砭刺也。从刀𤐫聲。一曰剽，劫人也。,Y,2774,,
L-R,2,劖,2090,,刀,,,,,,毚,,,,,斷也。从刀毚聲。一曰剽也，釗也。,Y,2781,,
L-R,2,功,3977,,工,,,,,,力,,,,2024-01-14 15:21:19,以勞定國也。从力从工，工亦聲。,Y,9167,in HSK,
L-R,2,动,3136,,云,,,,,,力,,,,2024-01-14 15:19:09,,Y,,from HSK,"(of sth) to move/to set in movement/to displace/to touch/to make use of/to stir (emotions)/to alter/abbr. for 動詞|动词[dong4 ci2], verb"
L-R,2,助,13202,,且,,,,,,力,,,,2024-01-17 00:16:27,左也。从力且聲。,Y,9168,in HSK,assist / help
