link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LD-M,2,䞨,13731,,,走,,圭,,,,,,,2024-01-21 18:12:48,半步也。从走圭聲。讀若跬同。,Y,,,
LD-M,2,䟆,1641,,,走,,畢,,,,,,,,止行也。一曰竈上祭名。从走畢聲。,Y,1058,,
LD-M,2,严,11529,,,丿,,亚 ,,,,,,,2024-01-17 00:06:21,,Y,,from HSK,tight (closely sealed)/stern/strict/rigorous/severe/father
LD-M,2,巡,11424,,,辶 ,,巛,,,,,,,2024-01-17 00:04:56,延行皃。从辵川聲。,Y,1096,in HSK,
LD-M,2,廷,10114,,,廴,,壬,,,,,,,2024-01-27 00:21:21,朝中也。从廴壬聲。,Y,1260,in HSK,
LD-M,2,建,5196,,,廴,,聿,,,,,,,2024-01-26 22:37:01,立朝律也。从聿从廴。,Y,1262,in HSK,
LD-M,2,式,9394,,,工,,弋,,,,,,,2024-01-15 12:14:55,法也。从工弋聲。,Y,3015,in HSK,
LD-M,2,赳,5588,,,走,,丩,,,,,,,,輕勁有才力也。从走丩聲。讀若鐈。,Y,984,,
LD-M,2,赴,3766,,,走,,卜,,,,,,,2024-01-26 22:32:01,,Y,,from HSK,to go/to visit (e.g. another country)/to attend (a banquet etc)
LD-M,2,赵,1219,,,走,,乂,,,,,,,2024-01-26 16:51:57,,Y,,from HSK,"surname Zhao/one of the seven states during the Warring States Period (476-220 BC)/the Former Zhao 前趙|前赵[Qian2 Zhao4] (304-329) and Later Zhao 後趙|后赵[Hou4 Zhao4] (319-350), states of the Sixteen Kingdoms"
LD-M,2,赶,108,,,走,,干,,,,,,,,舉尾走也。从走干聲。,Y,1062,in HSK,
LD-M,2,趁,2234,,,走,,㐱,,,,,,,,𧾍也。从走㐱聲。讀若塵。,Y,990,in HSK,
LD-M,2,趄,5640,,,走,,且,,,,,,,,趑趄也。从走且聲。,Y,1043,,
LD-M,2,超,2185,,,走,,召,,,,,,,,跳也。从走召聲。,Y,982,in HSK,
LD-M,2,越,12476,,,走,,戉,,,,,,,,度也。从走戉聲。,Y,989,in HSK,
LD-M,2,趑,13364,,,走,,次,,,,,,,,趑趄，行不進也。从走次聲。,Y,1042,,
LD-M,2,趒,10072,,,走,,兆,,,,,,,,雀行也。从走兆聲。,Y,1061,,
LD-M,2,趡,2673,,,走,,隹,,,,,,,,動也。从走隹聲。《春秋傳》曰：“盟于趡。”趡，地名。,Y,1054,,
LD-M,2,趫,8511,,,走,,喬,,,,,,,,善緣木走之才。从走喬聲。讀若王子蹻。,Y,983,,
LD-M,2,趮,12613,,,走,,喿,,,,,,,,疾也。从走喿聲。,Y,986,,
LD-M,2,趯,10022,,,走,,翟,,,,,,,,踊也。从走翟聲。,Y,987,,
LD-M,2,边,1726,,, 辶,,力,,,,,,,2024-01-14 15:07:58,,Y,,from HSK,side/edge/margin/border/boundary/CL:個|个[ge4]/simultaneously
LD-M,2,辽,705,,,辶,,了,,,,,,,2024-01-14 15:03:54,,Y,,from HSK,short name for Liaoning 遼寧|辽宁[Liao2 ning2] province/Liao or Khitan dynasty (907-1125)
LD-M,2,达,2745,,,辶 ,,大,,,,,,,2024-01-15 13:00:12,,Y,,from HSK,to attain/to reach/to amount to/to communicate/eminent
LD-M,2,迁,8386,,, 辶,,千,,,,,,,2024-01-15 13:18:24,,Y,,from HSK,to move/to shift/to change (a position or location etc)/to promote
LD-M,2,迂,12230,,,辶,,于,,,,,,,,避也。从辵于聲。,Y,1201,in HSK,
LD-M,2,迄,8354,,,辶,,乞,,,,,,,2024-01-27 23:57:23,至也。从辵气聲。,Y,1215,in HSK,
LD-M,2,迅,11454,,,辶,,卂,,,,,,,2024-01-17 00:05:33,疾也。从辵卂聲。,Y,1121,in HSK,
LD-M,2,迆,11876,,,辶,,也,,,,,,,,衺行也。从辵也聲。《夏書》曰：“東迆北，會于匯。”,Y,1155,,
LD-M,2,过,4262,,,辶,,寸,,,,,,,2024-01-15 13:07:00,,Y,,from HSK,to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/excessively/too-
LD-M,2,迈,7077,,,辶,,万,,,,,,,2024-01-15 13:15:57,,Y,,from HSK,to take a step/to stride
LD-M,2,迋,10411,,,辶,,王,,,,,,,,往也。从辵王聲。《春秋傳》曰：“子無我迋。”,Y,1103,,
LD-M,2,迎,63,,,辶,,卬,,,,,,,2024-01-18 01:18:59,逢也。从辵卬聲。,Y,1124,in HSK,welcome
LD-M,2,运,12523,,, 辶,, 云,,,,,,,2024-01-17 00:13:10,,Y,,from HSK,to move/to transport/to use/to apply/fortune/luck/fate
LD-M,2,近,5493,,,辶,,斤,,,,,,,,附也。从辵斤聲。,Y,1179,in HSK,
LD-M,2,返,3465,,,辶,,反,,,,,,,,還也。从辵从反，反亦聲。《商書》曰：“祖甲返。”,Y,1140,in HSK,
LD-M,2,还,4273,,,辶,,不,,,,,,,2024-01-16 23:07:11,,Y,,from HSK,still/still in progress/still more/yet/even more/in addition/fairly/passably (good)/as early as/even/also/else
LD-M,2,这,12849,,,辶,,文,,,,,,,2024-01-23 23:02:28,,Y,,from HSK,"(pronoun) this; these/(bound form) this; the (followed by a noun)/(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)"
LD-M,2,进,5494,,,辶,, 井,,,,,,,2024-01-16 23:14:25,,Y,,from HSK,to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound
LD-M,2,远,12443,,, 辶 ,,元,,,,,,,2024-01-17 00:12:14,,Y,,from HSK,far/distant/remote/(intensifier in a comparison) by far/much (lower etc)
LD-M,2,违,10454,,,辶 ,,韦,,,,,,,2024-01-17 00:00:26,,Y,,from HSK,to disobey/to violate/to separate/to go against
LD-M,2,连,6548,,,辶 ,,车,,,,,,,2024-01-16 23:27:51,,Y,,from HSK,"to link/to join/to connect/continuously/in succession/including/(used with 也[ye3], 都[dou1] etc) even/company (military)"
LD-M,2,迟,2322,,,辶,, 尺,,,,,,,2024-01-18 01:59:59,,Y,,from HSK,late/delayed/slow
LD-M,2,迢,10073,,,辶,,召,,,,,,,,迢，遰也。从辵召聲。,Y,1219,,
LD-M,2,迣,13069,,,辶,,丗,,,,,,,,迾也。晉趙曰迣。从辵丗聲。讀若寘。,Y,1187,,
LD-M,2,迥,5576,,,辶,,冋,,,,,,,,遠也。从辵冋聲。,Y,1199,,
LD-M,2,迪,2950,,,辶,,由,,,,,,,,道也。从辵由聲。,Y,1131,,
LD-M,2,迫,7870,,,辶,,白,,,,,,,,近也。从辵白聲。,Y,1181,in HSK,
LD-M,2,迭,3091,,,辶,,失,,,,,,,,更迭也。从辵失聲。一曰达。,Y,1165,,
LD-M,2,述,9515,,,辶,,术,,,,,,,,循也。从辵术聲。,Y,1106,in HSK,
LD-M,2,迶,12221,,,辶,,有,,,,,,,2024-01-27 12:46:29,,Y,,,
LD-M,2,迷,7292,,,辶,,米,,,,,,,,或也。从辵米聲。,Y,1166,in HSK,
LD-M,2,迸,1613,,,辶,,并,,,,,,,,散走也。从辵并聲。,Y,1216,,
LD-M,2,迹,5031,,,辶,,亦,,,,,,,,步處也。从辵亦聲。,Y,1092,in HSK,
LD-M,2,迻,11852,,,辶,,多,,,,,,,,遷徙也。从辵多聲。,Y,1135,,
LD-M,2,追,13280,,,辶,,𠂤,,,,,,,,逐也。从辵𠂤聲。,Y,1176,in HSK,
LD-M,2,退,17,,,辶,,艮,,,,,,,2024-01-27 00:44:18,,Y,,from HSK,to retreat;  to withdraw/to reject
LD-M,2,送,97,,,辶,,关,,,,,,,2024-01-27 00:45:42,,Y,,from HSK,to send;  to deliver
LD-M,2,适,9425,,,辶,,舌,,,,,,,2024-01-27 00:15:29,疾也。从辵𠯑聲。讀與括同。,Y,1122,in HSK,
