link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LU-LD-R,3,㲃,13808,白,,匕,,,,,殳,,,,2024-01-23 21:50:56,,Y,,,
LU-LD-R,3,制,13019,⺧,,巾,,,,,刂,,,,2025-02-08 17:00:06,裁也。从刀从未。未，物成有滋味，可裁斷。一曰止也。,Y,2784,in HSK,
LU-LD-R,3,刷,9517,尸,,巾,,,,,刂,,,,2024-01-26 22:55:05,,Y,,from HSK,to brush/to paint/to daub/to paste up/to skip class (of students)/to fire from a job
LU-LD-R,3,卸,11111,午,,止,,,,,卩,,,,2024-01-27 00:28:52,,Y,,from HSK,to unload/to unhitch/to remove or strip/to get rid of
LU-LD-R,3,哉,12541,十,,口,,,,,戈,,,,2024-01-18 21:00:07,言之閒也。从口𢦔聲。,Y,855,,
LU-LD-R,3,嗣,9602,口,,冊,,,,,司,,,,,諸侯嗣國也。从冊从口，司聲。,Y,1429,,
LU-LD-R,3,尉,10495,尸,,示,,,,,寸,,,,2024-01-21 18:51:28,,Y,,from HSK,military officer
LU-LD-R,3,我,212,丿,,扌,,,,,戈,,,,2025-02-08 17:02:09,施身自謂也。或說我，頃頓也。从戈从𠄒。𠄒，或說古垂字。一曰古殺字。凡我之屬皆从我。,Y,8360,in HSK,I / self / me
LU-LD-R,3,截,5398,十,,隹,,,,,戈,,,,2025-02-16 12:06:21,,Y,,from HSK,to cut off (a length)/to stop/to intercept/section/chunk/length
LU-LD-R,3,戳,2548,羽,,隹,,,,,戈,,,,2025-02-16 12:01:48,,Y,,from HSK,to jab/to poke/to stab/(coll.) to sprain/to blunt/to fuck (vulgar)/to stand/to stand (sth) upright/stamp/seal
LU-LD-R,3,戴,2772,十,,異,,,,,戈,,,,2024-01-27 22:50:30,分物得增益曰戴。从異𢦔聲。,Y,1771,in HSK,
LU-LD-R,3,敖,1356,土,,方,,,,,攵,,,,2024-01-27 17:09:41,出游也。从出从放。,Y,2504,,
LU-LD-R,3,敫,5311,白,,方,,,,,攵,,,,2024-01-23 22:23:08,光景流也。从白从放。讀若龠。,Y,2505,,
LU-LD-R,3,新,11150,立,,木,,,,,斤,,,,2024-01-21 22:25:08,取木也。从斤新聲。,Y,9440,in HSK,
LU-LD-R,3,栽,77,十,,木,,,,,戈,,,,2024-01-18 16:51:29,築牆長版也。从木𢦔聲。《春秋傳》曰：“楚圍蔡，里而𣒭。”,Y,3601,in HSK,plant
LU-LD-R,3,款,6073,士,,示,,,,,欠,,,,2025-02-16 12:07:15,,Y,,from HSK,"section/paragraph/funds/CL:筆|笔[bi3],個|个[ge4]/classifier for versions or models (of a product)"
LU-LD-R,3,武,10641,一,,止,,,,,弋,,,,2024-01-23 22:55:15,,Y,,from HSK,martial/military
LU-LD-R,3,殿,3024,尸,,共,,,,,殳,,,,2024-01-23 21:54:44,擊聲也。从殳𡱂聲。,Y,1959,in HSK,
LU-LD-R,3,毁,43,臼,,工,,,,,殳,,,,2025-02-08 17:20:37,,Y,,from HSK,to destroy;  to ruin/to defame
LU-LD-R,3,纇,13622,米,,糸,,,,,页,,,,2024-01-21 01:05:49,絲節也。从糸頪聲。,Y,,,
LU-LD-R,3,肄,11944,匕,,矢,,,,,聿,,,,2025-02-16 11:41:09,,Y,,from HSK,to learn/to practice or study (old)
LU-LD-R,3,虨,13570,虍,,林,,,,,彡,,,,2024-01-20 21:35:39,虎文，彪也。从虍彬聲。,Y,,,
LU-LD-R,3,裁,1948,十,,衣,,,,,戈,,,,2024-01-18 23:55:37,制衣也。从衣𢦔聲。,Y,5231,in HSK,tailor / dictate
LU-LD-R,3,載,13721,十,,車,,,,,戈,,,,2024-01-21 15:41:06,乘也。从車𢦔聲。,Y,,,
LU-LD-R,3,载,12548,十,,车,,,,,戈,,,,2024-01-27 01:34:10,,Y,,from HSK,to record in writing/to carry (i.e. publish in a newspaper etc)/Taiwan pr. [zai4]/year
LU-LD-R,3,辟,1700,尸,,口,,,,,辛,,,,2024-01-27 21:29:49,法也。从卩从辛，節制其辠也；从口，用法者也。凡辟之屬皆从辟。,Y,5768,in HSK,
LU-LD-R,3,酨,13624,十,,酉,,,,,戈,,,,2024-01-21 01:11:10,酢𤖅也。从酉𢦔聲。,Y,,,
LU-LD-R,3,類,13944,米,,犬,,,,,页,,,,2024-02-07 23:14:48,種類相似，唯犬爲甚。从犬頪聲。,Y,,,
LU-LD-R,3,颖,12114,匕,,禾,,,,,页,,,,2025-02-16 11:42:50,,Y,,from HSK,head of grain/husk/tip/point/clever/gifted/outstanding
LU-LD-R,3,𠣊,13737,非,,慮,,,,,力,,,,2024-01-21 18:31:35,助也。从力从非，慮聲。,Y,,,
LU-LD-R,3,𢼸,13711,山,一,几,,,,,攵,,,,2025-02-16 12:28:51,,Y,,,
LU-LD-R,3,𣀆,13559,君,,羊,,,,,攵,,,,2024-01-20 18:19:04,朋侵也。从攴从羣，羣亦聲。,Y,,,
LU-LD-R,3,𣤭,13695,咸,,糸,,,,,欠,,,,2024-01-21 12:46:45,監持意。口閉也。从欠緘聲。,Y,,,
LU-LD-R,3,𩓣,13814,彡,,立,,,,,页,,,,2025-02-16 12:38:54,待也。从立須聲。,Y,,,
LU-LD-R,3,𩛥,13767,才,,食,,,,,丮,,,,2024-01-21 21:16:17,設飪也。从丮从食，才聲。讀若載。,Y,,,
