link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LU-M,2,么,7063,丿,,,,厶,,,,,,,2023-12-28 14:54:46,,Y,,from HSK,interrogative final particle
LU-M,2,升,9296,丿,,,,廾,,,,,,,2023-12-28 15:00:16,,Y,,from HSK,to ascend/to rise to the rank of/to promote/to hoist/liter/measure for dry grain equal to one-tenth dou 斗[dou3]
LU-M,2,午,10633,丿,,,,干,,,,,,,2024-01-14 14:44:14,,Y,,from HSK,"7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse/ancient Chinese compass point: 180° (south)"
LU-M,2,厅,10102,厂,,,,丁,,,,,,,2023-12-28 15:01:46,,Y,,from HSK,(reception) hall/living room/office/provincial government department
LU-M,2,历,6475,厂,,,,力,,,,,,,2023-12-28 14:53:47,,Y,,from HSK,calendar
LU-M,2,厌,118,厂,,,,犬,,,,,,,2024-01-15 12:42:59,,Y,,from HSK,(bound form) to loathe;  to be fed up with/(literary) to satiate
LU-M,2,厎,12995,厂,,,,氐,,,,,,,,柔石也。从厂氐聲。,Y,5953,,
LU-M,2,厓,11471,厂,,,,圭,,,,,,,,山邊也。从厂圭聲。,Y,5948,,
LU-M,2,厕,2015,厂,,,,则,,,,,,,2024-01-25 22:57:28,,Y,,from HSK,restroom/toilet/lavatory
LU-M,2,厖,7906,厂,,,,尨,,,,,,,,石大也。从厂尨聲。,Y,5966,,
LU-M,2,厘,6425,厂,,,,里,,,,,,,2024-01-26 23:57:56,,Y,,from HSK,one hundredth/centi-
LU-M,2,厜,13470,厂,,,,垂,,,,,,,,厜㕒，山顚也。从厂垂聲。,Y,5949,,
LU-M,2,厝,2714,厂,,,,昔,,,,,,,2024-01-21 22:39:39,厲石也。从厂㫺聲。《詩》曰：“他山之石，可以爲𠪞。”,Y,5965,,
LU-M,2,厞,3529,厂,,,,非,,,,,,,,隱也。从厂非聲。,Y,5971,,
LU-M,2,厥,5759,厂,,,,欮,,,,,,,2024-01-21 12:34:53,發石也。从厂欮聲。,Y,5954,,
LU-M,2,厦,1049,厂,,,,夏,,,,,,,2024-01-27 17:08:31,,Y,,from HSK,"abbr. for Xiamen or Amoy 廈門|厦门[Xia4 men2], Fujian"
LU-M,2,厷,3980,又,,,,厶,,,,,,,2024-01-21 18:57:20,臂上也。从又，从古文。,Y,1897,,
LU-M,2,友,12203,又,,,,又,,,,,,,2024-01-27 08:32:47,,Y,,from HSK,hand-in-hand = friend
LU-M,2,嘂,5335,口,,口,,丩,,口,,口,,,2025-02-16 15:49:54,高聲也。一曰大呼也。从㗊丩聲。《春秋公羊傳》曰：“魯昭公叫然而哭。”,Y,1434,,
LU-M,2,器,8332,口,,口,,犬,,口,,口,,,2025-02-16 15:45:22,,Y,,from HSK,device/tool/utensil/CL:臺|台[tai2]
LU-M,2,嚚,12016,口,,口,,臣,,口,,口,,,2025-02-16 15:50:31,語聲也。从㗊臣聲。,Y,1432,,
LU-M,2,嚣,11023,口,,口,,页,,口,,口,,,2025-02-16 15:50:11,,Y,,from HSK,clamor
LU-M,2,失,9324,丿,,,, 夫,,,,,,,2024-01-15 12:13:48,縱也。从手乙聲。,Y,7938,in HSK,
LU-M,2,头,10182,丶 丶,,,,大,,,,,,,2024-01-15 12:27:33,,Y,,from HSK,head/hair style/the top/end/beginning or end/a stub/remnant/chief/boss/side/aspect/first/leading/classifier for pigs or livestock/CL:個|个[ge4]
LU-M,2,崖,11474,屵,,,,圭,,,,,,,2024-01-27 12:58:14,高邊也。从屵圭聲。,Y,5888,in HSK,
LU-M,2,布,1928,又,,,,巾,,,,,,,2025-02-08 16:49:06,枲織也。从巾父聲。,Y,4888,in HSK,
LU-M,2,庐,6866,广,,,,户,,,,,,,2024-01-27 23:53:15,,Y,,from HSK,hut
LU-M,2,店,185,广,,,,占,,,,,,,2024-01-26 16:51:09,,Y,,from HSK,inn;  old-style hotel/(bound form) shop
LU-M,2,废,3533,广,,,,发,,,,,,,2024-01-26 22:30:24,,Y,,from HSK,to abolish/to abandon/to abrogate/to discard/to depose/to oust/crippled/abandoned/waste
LU-M,2,康,5899,广,,,,隶,,,,,,,2024-01-25 21:31:20,,Y,,from HSK,healthy/peaceful/abundant
LU-M,2,房,3486,户,,,,方,,,,,,,2024-01-26 22:29:24,室在㫄也。从戶方聲。,Y,7685,in HSK,
LU-M,2,有,136,又,,,,月,,,,,,,2024-01-27 12:46:52,不宜有也。《春秋傳》曰：“日月有食之。”从月又聲。凡有之屬皆从有。,Y,4301,in HSK,
LU-M,2,灰,273,又,,,, 火,,,,,,,2024-01-15 12:52:10,死火餘㶳也。从火从又。又，手也。火旣滅，可以執持。,Y,6416,in HSK,
