link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
M-D,2,㤅,1299,,,,,旡,心,,,,,,2025-02-16 09:11:02,惠也。从心先聲。,Y,6745,,
M-D,2,㱳,13765,,,,,莫,歹,,,,,,2024-01-21 21:10:22,死𡧯㱳也。从歺莫聲。,Y,,,
M-D,2,㼝,13773,,,,,夗,瓦,,,,,,2024-01-21 21:26:34,小盂也。从瓦夗聲。,Y,,,
M-D,2,䉾,13728,,,,,北,米,,,,,,2024-01-21 16:06:46,惡米也。从米北聲。《周書》有《䉾誓》。,Y,,,
M-D,2,丕,7999,,,,,不,一,,,,,,,大也。从一不聲。,Y,4,,
M-D,2,丛,2620,,,,,从,一,,,,,,2024-01-14 15:16:44,,Y,,from HSK,cluster/collection/collection of books/thicket
M-D,2,乒,8128,,,,,丘,丿,,,,,,2024-01-15 13:17:23,,Y,,from HSK,(onom.) ping/bing
M-D,2,乓,7903,,,,,丘,丶,,,,,,2024-01-15 13:17:09,,Y,,from HSK,(onom.) bang
M-D,2,产,2123,,,,,立,丿,,,,,,2024-01-15 12:53:57,,Y,,from HSK,to give birth/to reproduce/to produce/product/resource/estate/property
M-D,2,儵,13783,,,,,攸,黑,,,,,,2024-01-21 21:38:20,青黑繒縫白色也。从黑攸聲。,Y,,,
M-D,2,兵,1816,,,,,丘 ,八,,,,,,2024-01-18 01:57:05,,Y,,from HSK,soldiers/a force/an army/weapons/arms/military/warlike/CL:個|个[ge4]
M-D,2,凫,3710,,,,,鸟,几,,,,,,2024-01-27 23:48:20,,Y,,from HSK,mallard/Anas platyrhyncha
M-D,2,凳,2917,,,,,登,几,,,,,,2024-01-27 21:32:45,,Y,,from HSK,bench/stool
M-D,2,县,10961,,,,,且 ,厶,,,,,,2024-01-17 00:01:32,,Y,,from HSK,county
M-D,2,土,10210,,,,,十,一,,,,,,2024-01-14 14:39:40,,Y,,from HSK,earth/dust/clay/local/indigenous/crude opium/unsophisticated/one of the eight categories of ancient musical instruments 八音[ba1 yin1]
M-D,2,士,9390,,,,,十,一,,,,,,,事也。數始於一，終於十。从一从十。孔子曰：“推十合一爲士。”凡士之屬皆从士。,Y,226,in HSK,
M-D,2,寿,9441,,,,,丰,寸,,,,,,2024-01-16 23:54:54,,Y,,from HSK,long life/old age/age/life/birthday/funerary
M-D,2,少,9205,,,,,小,丿,,,,,,2024-01-14 14:36:50,不多也。从小丿聲。,Y,705,in HSK,
M-D,2,尽,5460,,,,,尺 ,冫,,,,,,2024-01-16 23:13:51,,Y,,from HSK,to the greatest extent/(when used before a noun of location) furthest or extreme/to be within the limits of/to give priority to
M-D,2,嶞,3286,,,,,憜,山,,,,,,,山之墮墮者。从山，从憜省聲。讀若相推落之憜。,Y,5847,,
M-D,2,弊,1652,,,,,敝,廾,,,,,,2024-01-27 21:28:54,,Y,,from HSK,detriment/fraud/harm/defeat
M-D,2,忌,4992,,,,,己,心,,,,,,2024-01-18 02:14:07,憎惡也。从心己聲。,Y,6837,in HSK,
M-D,2,患,4676,,,,,串,心,,,,,,2024-02-24 12:03:38,,Y,,from HSK,to suffer (from illness)/to contract (a disease)/misfortune/trouble/danger/worry
M-D,2,旦,2824,,,,,日,一,,,,,,2023-12-28 23:46:20,,Y,,from HSK,"(literary) dawn; daybreak/dan, female role in Chinese opera (traditionally played by specialized male actors)"
M-D,2,早,12593,,,,,日,十,,,,,,2024-02-19 09:48:05,,Y,,from HSK,early/morning/Good morning!/long ago/prematurely
M-D,2,杰,5384,,,,,木,灬,,,,,,2024-01-26 16:07:29,,Y,,from HSK,(bound form) hero/heroic/outstanding person/prominent/distinguished
M-D,2,枣,286,,,,,朿,冫,,,,,,2024-01-25 22:52:18,,Y,,from HSK,(bound form) jujube;  Chinese date (Zizyphus jujuba)
M-D,2,炁,8344,,,,,旡,灬,,,,,,2024-01-28 13:47:04,气,Y,,,
