link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
M-Mi,2,䡓,13712,,,,,行,,,,,,车,2024-01-21 15:28:16,車搖也。从車从行。一曰衍省聲。,Y,,,
M-Mi,2,丸,10348,,,,,九,,,,,,丶,2024-01-14 14:40:08,,Y,,from HSK,ball/pellet/pill
M-Mi,2,乘,2257,,,,,禾,,,,,,北,2024-01-27 08:38:29,,Y,,from HSK,to ride/to mount/to make use of/to avail oneself of/to take advantage of/to multiply (math.)/Buddhist sect or creed
M-Mi,2,冈,3844,,,,,冂,,,,,,乂,2024-01-26 23:45:23,,Y,,from HSK,ridge/mound
M-Mi,2,冏,5563,,,,,冂,,,,,,八口,2024-01-27 23:04:44,,Y,,,
M-Mi,2,凰,4697,,,,,几,,,,,,皇,2024-01-28 12:57:16,,Y,,from HSK,phoenix
M-Mi,2,凶,11211,,,,,凵,,,,,,乂,2024-01-14 14:47:06,,Y,,from HSK,terrible/fearful
M-Mi,2,函,4291,,,,,凵,,,,,,氶,2024-01-28 10:13:46,,Y,,from HSK,envelope/case/letter
M-Mi,2,勺,9199,,,,,勹,,,,,,丶,2024-01-14 14:36:29,,Y,,from HSK,"spoon/ladle/CL:把[ba3]/abbr. for 公勺[gong1 shao2], centiliter (unit of volume)"
M-Mi,2,匆,2602,,,,,勿,,,,,,丶,2024-01-14 15:16:15,,Y,,from HSK,hurried/hasty
M-Mi,2,匋,9945,,,,,勹,,,,,,缶,2024-01-27 10:58:56,,Y,,,
M-Mi,2,匝,12529,,,,,匚,,,,,,巾,2024-01-25 08:33:20,,Y,,,bundle
M-Mi,2,匠,5259,,,,,匚,,,,,,斤,2024-01-15 13:12:21,木工也。从匚从斤。斤，所以作器也。,Y,8383,in HSK,
M-Mi,2,匡,6076,,,,,匚,,,,,,王,2024-01-27 09:08:27,飲器，筥也。从匚㞷聲。,Y,8385,,
M-Mi,2,匣,10852,,,,,匚,,,,,,甲,2024-01-28 00:01:59,匱也。从匚甲聲。,Y,8397,in HSK,
M-Mi,2,匪,3515,,,,,匚,,,,,,非,2024-01-27 00:52:59,器，似竹筐。从匚非聲。《逸周書》曰：“實玄黃于匪。”,Y,8389,in HSK,
M-Mi,2,匹,8002,,,,,匚,,,,,,儿,2024-01-14 14:30:20,,Y,,from HSK,mate/one of a pair  product  goods/(bound form) grade  rank/kind  type  variety/character  disposition  nature  temperament/to taste sth  to sample/to criticize  to comment  to judge  to size up/fret (on a guitar or lute)
M-Mi,2,区,8676,,,,,匚,,,,,,乂,2024-01-14 14:34:42,,Y,,from HSK,area/region/district/small/distinguish/CL:個|个[ge4]
M-Mi,2,医,11811,,,,,匸,,,,,,矢,2024-01-17 00:09:49,盛弓弩矢器也。从匸从矢。《國語》曰：“兵不解医。”,Y,8380,in HSK,
M-Mi,2,匽,11567,,,,,匸,,,,,,妟,2024-01-28 13:15:35,匿也。从匸妟聲。,Y,8379,,
M-Mi,2,匾,1729,,,,,匚,,,,,,扁,2024-01-28 11:43:30,,Y,,from HSK,horizontal rectangular inscribed tablet hung over a door or on a wall/shallow round woven bamboo basket
M-Mi,2,十,9347,,,,,一,,,,,,丨,2024-01-14 14:37:35,,Y,,from HSK,ten/10
M-Mi,2,卿,8585,,,,,卯,,,,,,艮,2024-01-28 12:06:24,,Y,,from HSK,high ranking official (old)/term of endearment between spouses (old)/(from the Tang Dynasty onwards) term used by the emperor for his subjects (old)/honorific (old)
