link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
M-R,2,㓝,13644,,,,,井,,,刂,,,,2024-01-21 08:56:56,罰辠也。从井从刀。《易》曰：“井，法也。”井亦聲。,Y,,,
M-R,2,㱍,13694,,,,,䜌,,,欠,,,,2024-01-21 12:39:29,欠皃。从欠䜌聲。,Y,,,
M-R,2,㲪,13591,,,,,登,,,毛,,,,2024-01-20 23:08:56,毾㲪也。从毛登聲。,Y,,,
M-R,2,䋣,13614,,,,,𣫭,,,糸,,,,2024-01-21 00:54:06,馬髦飾也。从糸𣫭聲。《春秋傳》曰：“可以稱旌緐乎？”,Y,,,
M-R,2,䫏,8228,,,,,其,,,页,,,,,醜也。从頁其聲。今逐疫有䫏頭。,Y,5660,,
M-R,2,䰰,13592,,,,,需,,,鬼,,,,2024-01-20 23:11:11,鬼鬽聲，䰰䰰不止也。从鬼需聲。,Y,,,
M-R,2,切,33,,,,,七,,,刀,,,,2024-01-21 09:01:06,刌也。从刀七聲。,Y,2748,in HSK,
M-R,2,刊,5870,,,,,干,,,刂,,,,2024-01-14 15:27:53,剟也。从刀干聲。,Y,2761,in HSK,
M-R,2,刌,36,,,,,寸,,,刂,,,,2024-01-28 22:43:14,切也。从刀寸聲。,Y,2749,,
M-R,2,刑,11182,,,,,幵,,,刂,,,,2024-01-15 12:29:19,剄也。从刀幵聲。,Y,2789,in HSK,
M-R,2,划,4609,,,,, 戈,,,刂,,,,2024-01-15 13:09:43,,Y,,from HSK,to cut/to slash/to scratch (cut into the surface of sth)/to strike (a match)
M-R,2,列,6647,,,,,歹,,,刂,,,,2024-01-15 13:14:41,分解也。从刀𡿪聲。,Y,2760,in HSK,
M-R,2,刘,6766,,,,,文,,,刂,,,,2024-01-15 13:15:11,,Y,,from HSK,(classical) a type of battle-ax/to kill/to slaughter
M-R,2,则,137,,,,,贝,,,刂,,,,2024-01-15 12:44:50,,Y,,from HSK,(literary) (conjunction used to express contrast with a previous clause) but;  then/(bound form) standard
M-R,2,刚,3841,,,,,冈,,,刂,,,,2024-01-15 13:05:54,,Y,,from HSK,hard/firm/strong/just/barely/exactly
M-R,2,创,2487,,,,,仓,,,刂,,,,2024-01-15 12:58:41,,Y,,from HSK,a wound/cut/injury/trauma
M-R,2,删,9115,,,,,册,,,刂,,,,2024-01-23 22:49:49,,Y,,from HSK,to delete
M-R,2,刡,61,,,,,民,,,刂,,,,2024-02-13 22:17:27,,Y,,,
M-R,2,判,7893,,,,,半,,,刂,,,,2024-01-23 22:46:42,分也。从刀半聲。,Y,2757,in HSK,
M-R,2,別,13903,,,,,另,,,刂,,,,2024-01-28 11:41:05,,Y,,,
M-R,2,刨,1529,,,,,包,,,刂,,,,2024-01-27 23:42:48,,Y,,from HSK,carpenter's plane/to plane (woodwork)/to shave off/to peel (with a potato peeler etc)
M-R,2,利,6458,,,,,禾 ,,,刂,,,,2024-01-18 02:18:45,,Y,,from HSK,sharp/favorable/advantage/benefit/profit/interest/to do good to/to benefit
M-R,2,别,1792,,,,,另 ,,,刂,,,,2024-01-18 01:56:44,,Y,,from HSK,"to leave; to part (from)/(literary) to differentiate; to distinguish/(bound form) other; another; different/don't ...!/to fasten with a pin or clip/to stick in; to insert (in order to hinder movement)/(noun suffix) category (e.g. 性別|性别[xing4 bie2], 派別|派别[pai4 bie2])"
M-R,2,刮,4105,,,,,舌,,,刂,,,,2024-01-26 16:02:49,掊把也。从刀𠯑聲。,Y,2773,in HSK,
M-R,2,到,125,,,,,至,,,刂,,,,2024-01-21 09:02:04,至也。从至刀聲。,Y,7669,in HSK,
M-R,2,刹,2066,,,,,杀,,,刂,,,,2024-01-28 10:09:59,,Y,,from HSK,"""Buddhist monastery, temple or shrine (abbr. for 剎多羅|刹多罗[cha4 duo1 luo2], Sanskrit """"ksetra"""")"""
M-R,2,刺,2594,,,,,朿,,,刂,,,,2024-01-26 15:57:20,君殺大夫曰刺。刺，直傷也。从刀从朿，朿亦聲。,Y,2794,in HSK,
M-R,2,刻,5958,,,,,亥,,,刂,,,,2024-01-26 22:39:56,鏤也。从刀亥聲。,Y,2753,in HSK,
M-R,2,刽,4213,,,,,会,,,刂,,,,2024-01-28 10:13:22,,Y,,from HSK,to amputate/to cut off/also pr. [kuai4]
M-R,2,剂,4982,,,,,齐,,,刂,,,,2024-01-26 22:35:23,,Y,,from HSK,dose (medicine)
M-R,2,剃,10007,,,,,弟,,,刂,,,,2024-01-27 01:25:56,,Y,,from HSK,to shave
M-R,2,削,11019,,,,,肖,,,刂,,,,2024-01-27 00:28:27,鞞也。一曰析也。从刀肖聲。,Y,2735,in HSK,
M-R,2,剌,6189,,,,,束,,,刂,,,,2024-01-27 17:34:44,戾也。从束从刀。刀者，剌之也。,Y,3884,,
M-R,2,剑,5194,,,,,佥,,,刂,,,,2024-01-26 23:52:39,,Y,,from HSK,"double-edged sword/CL:口[kou3],把[ba3]/classifier for blows of a sword"
M-R,2,剔,9977,,,,,易 ,,,刂,,,,2024-01-18 01:12:07,解骨也。从刀易聲。,Y,2795,in HSK,
M-R,2,剖,8180,,,,,咅,,,刂,,,,2024-01-27 10:42:43,判也。从刀咅聲。,Y,2755,in HSK,
M-R,2,剥,1504,,,,,录,,,刂,,,,2024-01-27 10:05:38,,Y,,from HSK,to peel/to skin/to shell/to shuck
M-R,2,剧,5685,,,,,居,,,刂,,,,2024-01-27 10:32:19,,Y,,from HSK,"theatrical work (play, opera, TV series etc)/dramatic (change, increase etc)/acute/severe"
M-R,2,剩,9316,,,,,乘,,,刂,,,,2024-01-27 17:47:23,,Y,,from HSK,to remain/to be left/to have as remainder
M-R,2,副,3743,,,,,畐,,,刂,,,,2024-01-27 10:10:21,判也。从刀畐聲。《周禮》曰：“副辜祭。”,Y,2754,in HSK,
M-R,2,割,3894,,,,,害,,,刂,,,,2024-01-27 18:48:10,剥也。从刀害聲。,Y,2766,in HSK,
