zi,n_frequency,category,is_radical,n_strokes
氵,377.0,天文-水,Y,3
木,324.0,天文-木,,4
口,300.0,人-生理,,3
艹,284.0,植物-,Y,3
扌,261.0,人-生理,Y,3
亻,213.0,人-,Y,2
月,154.0,"天文-月, 人-生理",Y,4
阝,153.0,地理-土,Y,3
土,143.0,天文-土,,3
女,137.0,人-,,3
虫,132.0,动物-,,6
日,125.0,天文-日,Y,4
忄,116.0,人-心理,Y,3
王,113.0,社会-,,4
纟,111.0,植物-,Y,3
⺮,108.0,植物-,Y,6
讠,102.0,人-生理,Y,2
辶,90.0,人-行,Y,3
钅,88.0,天文-金,Y,5
火,85.0,天文-火,,4
心,84.0,人-心理,,4
目,79.0,人-生理,,5
禾,78.0,人-食,Y,5
足,76.0,人-行,,7
疒,74.0,人-生理,Y,5
一,73.0,数理-计算,,1
又,73.0,人-生理,,2
石,71.0,地理-土,,5
山,65.0,地理-土,,3
宀,63.0,人-住,Y,3
鸟,62.0,动物-,,5
攵,59.0,概念-,Y,4
贝,59.0,社会-,,4
十,56.0,数理-计算,,2
巾,55.0,人-衣,,3
力,53.0,概念-,,2
车,53.0,社会-,,4
隹,53.0,动物-,Y,8
衤,52.0,人-衣,Y,5
犭,51.0,动物-,,3
田,51.0,社会-,,5
米,51.0,人-食,,6
人,46.0,人-,,2
酉,46.0,人-食,Y,7
刂,45.0,社会-,Y,2
大,44.0,概念-,,3
马,44.0,动物-,,3
页,44.0,人-生理,,6
广,42.0,概念-,,3
欠,42.0,概念-,,4
羽,42.0,动物-,,6
穴,41.0,社会-,,5
丿,40.0,radical,Y,1
礻,38.0,社会-,Y,4
殳,37.0,社会-,Y,4
羊,37.0,动物-,,6
言,36.0,人-生理,,7
冖,35.0,radical,Y,2
罒,34.0,社会-,Y,5
立,34.0,人-生理,,5
革,34.0,社会-,,9
戈,33.0,社会-,,4
刀,32.0,社会-,,2
厂,32.0,社会-,,2
饣,32.0,人-食,Y,3
白,32.0,数理-颜色,,5
糸,32.0,植物-,,6
寸,31.0,数理-度量,,3
耳,31.0,人-生理,,6
皿,30.0,社会-,,5
非,30.0,概念-,,8
冫,29.0,天文-水,Y,2
八,28.0,数理-计算,,2
彳,28.0,人-行,Y,3
子,28.0,人-伦理,,3
雨,28.0,天文-,,8
亠,27.0,radical,Y,2
尸,27.0,人-生理,,3
夫,27.0,人-伦理,,4
方,27.0,数理-时空,,4
丶,26.0,radical,Y,1
丷,26.0,radical,Y,2
丨,25.0,radical,Y,1
厶,25.0,概念-,Y,2
衣,25.0,人-衣,,6
几,24.0,社会-,,2
工,24.0,社会-,,3
弓,24.0,社会-,,3
分,24.0,概念-,,4
气,24.0,天文-,,4
且,24.0,概念-,,5
鬼,24.0,社会-,,9
乂,23.0,radical,Y,2
彡,23.0,人-生理,Y,3
干,23.0,社会-,,3
斤,23.0,数理-度量,,4
甫,23.0,植物-,,7
走,23.0,人-行,,7
鱼,23.0,动物-,,8
黑,23.0,数理-颜色,,12
囗,22.0,数理-时空,,3
士,22.0,社会-,,3
小,22.0,概念-,,3
门,22.0,人-住,,3
毛,22.0,人-生理,,4
犬,22.0,动物-,,4
止,21.0,人-行,,4
令,21.0,社会-,,5
占,21.0,社会-,,5
由,21.0,概念-,,5
二,20.0,数理-计算,,2
匕,20.0,社会-,Y,2
灬,20.0,天文-火,Y,4
水,20.0,天文-水,,4
各,20.0,概念-,,6
古,19.0,数理-时空,,5
句,19.0,社会-,,5
艮,19.0,地理-,Y,6
交,19.0,概念-,,6
舌,19.0,人-生理,,6
亡,18.0,概念-,,3
手,18.0,人-生理,,4
合,18.0,概念-,,6
舟,18.0,社会-,,6
辛,18.0,人-生理,,7
金,18.0,天文-金,,8
亥,18.0,数理-天干,Y,6
冂,17.0,radical,Y,2
卜,17.0,概念-,,2
夕,17.0,天文-,,3
歹,17.0,概念-,,4
可,17.0,概念-,,5
台,17.0,社会-,,5
旦,17.0,天文-,,5
皮,17.0,人-生理,,5
角,17.0,动物-,,7
其,17.0,概念-,,8
九,16.0,数理-计算,,2
今,16.0,数理-时空,,4
文,16.0,社会-,,4
斗,16.0,数理-度量,,4
比,16.0,概念-,,4
瓦,16.0,社会-,,4
矢,16.0,社会-,,5
缶,16.0,社会-,,6
骨,16.0,人-生理,,9
丁,15.0,数理-天干,,2
夂,15.0,radical,Y,3
己,15.0,人-,,3
牜,15.0,动物-,Y,4
巴,15.0,概念-,,4
包,15.0,社会-,,5
必,15.0,概念-,,5
共,15.0,社会-,,6
豕,15.0,动物-,Y,7
尚,15.0,概念-,,8
易,15.0,概念-,,8
青,15.0,数理-颜色,,8
高,15.0,概念-,,10
鹿,15.0,动物-,,11
勹,14.0,radical,Y,2
匚,14.0,社会-,Y,2
勺,14.0,社会-,,3
丰,14.0,植物-,Y,4
少,14.0,概念-,,4
曰,14.0,人-生理,,4
失,14.0,概念-,,5
吉,14.0,概念-,,6
氐,14.0,概念-,,5
彐,13.0,radical,Y,3
也,13.0,概念-,,3
廾,13.0,概念-,,3
元,13.0,数理-计算,,4
屯,13.0,社会-,,4
户,13.0,社会-,,4
支,13.0,概念-,,4
乍,13.0,概念-,Y,5
示,13.0,社会-,,5
良,13.0,概念-,,7
里,13.0,数理-度量,,7
儿,12.0,人-伦理,,2
中,12.0,数理-时空,,4
云,12.0,天文-,,4
瓜,12.0,植物-,,5
甘,12.0,人-生理,,5
虍,12.0,动物-,Y,6
至,12.0,数理-时空,,6
行,12.0,人-行,,6
肙,12.0,概念-,Y,7
音,12.0,社会-,,9
京,12.0,社会-文化,Y,8
乙,11.0,数理-天干,,1
及,11.0,概念-,,3
不,11.0,概念-,,4
亢,11.0,概念-,,4
牛,11.0,动物-,,4
半,11.0,概念-,,5
去,11.0,概念-,,5
央,11.0,数理-时空,,5
生,11.0,人-生理,,5
寺,11.0,社会-,,6
而,11.0,概念-,,6
豆,11.0,植物-,,7
畐,11.0,概念-,Y,9
丬,10.0,radical,Y,3
于,10.0,概念-,,3
千,10.0,数理-计算,,3
内,10.0,数理-时空,,4
勿,10.0,概念-,,4
见,10.0,人-生理,,4
只,10.0,数理-度量,,5
未,10.0,概念-,,5
甲,10.0,数理-天干,,5
龙,10.0,动物-,,5
臼,10.0,人-生理,,6
佥,10.0,,Y,7
豸,10.0,动物-,Y,7
麻,10.0,植物-,,11
禺,10.0,概念-,,9
束,10.0,数理-度量,,7
乚,9.0,radical,Y,1
爫,9.0,radical,Y,4
区,9.0,社会-,,4
天,9.0,天文-,,4
尤,9.0,概念-,,4
巨,9.0,概念-,,4
牙,9.0,人-生理,,4
平,9.0,概念-,,5
正,9.0,概念-,,5
申,9.0,概念-,,5
尧,9.0,概念-,Y,6
自,9.0,人-,,6
孚,9.0,概念-,Y,7
谷,9.0,植物-,,7
辰,9.0,数理-时空,,7
食,9.0,人-食,,9
亦,9.0,概念-,Y,6
卩,8.0,社会-,Y,2
乃,8.0,概念-,,2
乞,8.0,社会-,,3
刃,8.0,社会-,,3
幺,8.0,概念-,,3
才,8.0,社会-,,3
介,8.0,概念-,,4
仓,8.0,社会-,,4
