元字,meaning,pinyin,phono,strokes,alias,n_freq,Fib_Num,频率,类别,子类别,sample,tag,is_zi,notes,term,id_kangxi
气,steam,qì,qi,4,,24,0,24,天文-,,氕、氘、氚,,1.0,,,84
丿,slash,piě,pie,1,,40,1,34,radical,,乂、乃、久、八,,0.0,,,4
丶,dot,zhǔ,zhu,1,,26,1,21,radical,,丸、凡、丹、户,,0.0,,丶字旁,3
丨,line,gùn / gǔn,gun,1,,25,1,19,radical,,十、中、串、丰,,0.0,,,2
乚,second,yǐ,yi,1,,9,1,10,radical,,九、乞、也,,0.0,,,5
乀,slash,piě,pie,1,,3,1,3,radical,,乂、乃、久、八,,0.0,,,4
乁,slash,piě,pie,1,,1,1,1,radical,,,,0.0,,,4
亅,hook,gōu / jué,gou,1,,1,1,1,radical,,了、矛、事,,0.0,,,6
乙,second,yǐ,yi,1,,11,1,11,数理-天干,,九、乞、也,,1.0,,,5
日,sun,rì,ri,4,,125,2,119,天文-日,,旦、旨、早,Y,1.0,,,72
月,moon / meat,ròu / yuè,rou,4,⺼,154,2,154,"天文-月, 人-生理",flesh,有、朋、服,M,1.0,,,130
亻,man / person,rén,ren,2,人,213,3,215,人-,human,你、什、仁、仇,,0.0,,单立人 单人旁,9
人,man / person,rén,ren,2,亻,46,3,41,人-,human,你、什、仁、仇,,1.0,,单立人 单人旁,9
天,sky / heaven,tiān,tian,4,,9,3,9,天文-,,关癸吞吴,M,1.0,,,-1
川,river,chuān,chuan,3,巛 巜,6,5,8,地理-土,,川、州、順、災,,1.0,,,47
土,earth,tǔ,tu,3,,143,5,138,天文-土,,地、圣、圭、堯,,1.0,,提土旁,32
木,tree / wood,mù,mu,4,,324,5,318,天文-木,,未、末、本,,1.0,,木字旁,75
氵,water,shuǐ,shui,3,水,377,5,378,天文-水,,永、氷、氾,,0.0,,三点水,85
水,water,shuǐ,shui,4,氵 冫 氺 川,20,5,20,天文-水,,永、氷、氾,,1.0,,三点水,85
火,fire,huǒ,huo,4,灬,85,5,83,天文-火,,灰、灯、灶,,1.0,,火字旁,86
金,metal / gold,jīn,jin,8,釒 钅,18,5,18,天文-金,,釓、釔、釕,,1.0,,金字旁,167
南,south,Nán,nan,9,,1,8,2,数理-时空,,,M,,,,
北,north,Bei3 ,bei,5,,7,8,8,数理-时空,location,脊 背乘 乖 冀 燕,,1.0,,,-1
