zi,traditional,is_active,u_id,layer
号,號,Y,13976,HSK_z
叹,嘆,Y,13977,HSK_z
䎬,䎱,Y,13978,HSK_z
䞍,䝼,Y,13979,HSK_z
䙌,䙡,Y,13980,HSK_z
㳠,澾,Y,13981,HSK_z
䥽,鏺,Y,13982,HSK_z
㧏,掆,Y,13983,HSK_z
㭎,棡,Y,13984,HSK_z
䦶,䦛,Y,13985,HSK_z
䦷,䦟,Y,13986,HSK_z
鸼,鵃,Y,13987,HSK_z
䴖,鶄,Y,13988,HSK_z
䴘,鷉,Y,13989,HSK_z
䴙,鸊,Y,13990,HSK_z
厉,厲,Y,13991,HSK_z
顼,頊,Y,13992,HSK_z
䲡,鰌,Y,13993,HSK_z
䲣,䱷,Y,13994,HSK_z
䲢,鰧,Y,13995,HSK_z
鳘,鰵,Y,13996,HSK_z
讻,訩,Y,13997,HSK_z
饻,餏,Y,13998,HSK_z
纼,紖,Y,13999,HSK_z
钌,釕,Y,14000,HSK_z
䥺,釾,Y,14001,HSK_z
䦂,䥇,Y,14002,HSK_z
䦃,鐯,Y,14003,HSK_z
䦅,鐥,Y,14004,HSK_z
