zi,traditional,traditional
众,眾,衆
赃,贓,贜
绣,繡,綉
钵,缽,鉢
厕,廁,厠
莼,蓴,蒓
鹚,鶿,鷀
锉,剉,銼
鹅,鵞,鵝
鳄,鱷,鰐
凫,鳧,鳬
钩,鉤,鈎
饥,飢,饑
裥,襉,襇
鉴,鑑,鑒
缰,韁,繮
绝,絕,絶
里,裡,裏
棂,櫺,欞
录,錄,録
仑,崙,侖
骂,罵,駡
袅,嫋,裊
启,啟,啓
墙,牆,墻
荞,荍,蕎
竖,豎,竪
颓,頹,頽
伪,偽,僞
娴,嫺,嫻
闲,閒,閑
鹇,鷴,鷳
线,線,綫
锈,鏽,銹
颜,顏,顔
赝,贗,贋
暂,蹔,暫
钟,鍾,鐘
鳁,鰮,鰛
鲞,鯗,鮝
滟,灩,灧
谣,謠,謡
阅,閱,閲
蕴,蘊,藴
酝,醞,醖
产,產,産
沩,溈,潙
鸡,雞,鷄
硷,礆,鹼
奖,獎,奬
镌,鐫,鎸
绿,綠,緑
锐,銳,鋭
个,個 / 箇,個
为,為,爲
别,別 / 彆,彆
卤,鹵 / 滷,鹵
历,歷 / 曆,歷
发,髮 / 發,發
只,秖 / 隻,隻
台,颱 / 臺 / 檯,臺
复,復 / 覆 / 複,復
尔,爾 / 尒,爾
尽,儘 / 盡,盡
旋,,鏇
曲,,麯
汇,彙 / 匯,匯
涩,澀 / 澁,澀
烨,燁 / 爗,燁
系,繫 / 係,係
纤,纖 / 縴,縴
绦,絛,縧
绷,繃,綳
缊,縕,緼
脏,髒 / 臟,臟
荡,盪 / 蕩,蕩
蒙,,矇
说,說,説
谥,謚 / 諡,謚
