zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en,is_ele
半,1470,,,,丷,二,,,,,,丨,2024-01-14 15:06:05,物中分也。从八从牛。牛爲物大，可以分也。凡半之屬皆从半。,Y,724,in HSK,,1
燮,11126,火,,,言,,又,火,,,,,2024-01-21 09:17:16,和也。从言从又、炎。籒文𤎬从𢆉。𢆉，音飪。讀若溼。,Y,1902,,,0
寇,6017,,元,,宀,,,,攴,,,,2024-01-27 12:24:20,暴也。从攴从完。,Y,2035,in HSK,,0
鼓,4087,十,,豆,,支,,,,,,,2024-01-27 18:48:52,擊鼓也。从攴从壴，壴亦聲。,Y,2041,in HSK,,1
庸,12130,广,,,,肀,用,,,,,,2024-01-27 13:00:50,用也。从用从庚。庚，更事也。《易》曰：“先庚三日。”,Y,2076,in HSK,,0
死,9592,,夕,,一,,,,匕,,,,2024-01-15 13:23:27,澌也，人所離也。从歺从人。凡死之屬皆从死。,Y,2552,in HSK,,0
胤,12057,,丿,,幺,, 月,,乚,,,,2024-01-17 01:34:46,子孫相承續也。从肉；从八，象其長也；从幺，象重累也。,Y,2635,,,0
隋,960,,阝,,左,,月,,,,,,2024-01-17 01:24:03,裂肉也。从肉，从隓省。,Y,2660,,,0
筋,5453,,月,,⺮,,,,力,,,,2024-01-17 01:25:41,肉之力也。从力从肉从竹。竹，物之多筋者。凡筋之屬皆从筋。,Y,2729,in HSK,muscle,0
制,13019,⺧,,巾,,刂,,,,,,,2024-01-26 16:41:53,裁也。从刀从未。未，物成有滋味，可裁斷。一曰止也。,Y,2784,in HSK,,0
厚,4520,厂,,,,日,子,,,,,,2024-01-26 23:48:47,山陵之厚也。从𣆪从厂。,Y,3322,in HSK,,0
向,11008,,,,丿,冂,,,,,,口,2024-01-15 13:29:25,北出牖也。从宀从口。《詩》曰：“塞向墐戶。”,Y,4539,in HSK,,1
冠,4132,,元,,冖,,,,寸,,,,2024-01-27 00:56:48,絭也。所以絭髮，弁冕之緫名也。从冂从元，元亦聲。冠有法制，从寸。,Y,4776,in HSK,,0
佩,7953,,亻,,,几,,,巾,,,帀,2024-01-26 16:24:49,大帶佩也。从人从凡从巾。佩必有巾，巾謂之飾。,Y,4936,in HSK,,0
俞,12234,,,月,人,一,,,,刂,,,2024-01-21 22:08:02,空中木爲舟也。从亼从舟从巜。巜，水也。,Y,5413,,,0
兜,3146,,匚,,,白,儿,,㇆ 一,,,,2024-01-28 12:53:03,兜鍪，首鎧也。从𠑹，从皃省。皃象人頭也。,Y,5443,in HSK,,0
脊,299,二,𠦬,,,人,月,二,肉,,,,2024-01-27 10:04:50,背呂也。从𠦬从肉。,Y,8068,in HSK,rib,0
我,212,丿,扌,,,,,,戈,,,,2024-01-18 01:25:08,施身自謂也。或說我，頃頓也。从戈从𠄒。𠄒，或說古垂字。一曰古殺字。凡我之屬皆从我。,Y,8360,in HSK,I / self / me,0
亟,4921,,口,,,了,一,,又,,,,2024-01-21 19:06:31,敏疾也。从人从口，从又从二。二，天地也。,Y,8969,,,0
坐,13513,人,,,,土,,人,,,,,2024-01-18 22:08:41,止也。从土，从畱省。土，所止也。此與畱同意。,Y,9022,in HSK,sit,0
斝,5094,口,,,,冖,斗,口,,,,,2024-01-21 22:27:24,玉爵也。夏曰琖，殷曰斝，周曰爵。从吅从斗，冂象形。與爵同意。或說斝受六斗。,Y,9444,,,0
离,6426,,厹,,亠凵乂,厶,冂,,屮,,,,2024-01-25 21:45:02,山神，獸也。从禽頭，从厹从屮。歐陽喬說：离，猛獸也。,Y,9685,in HSK,,0
旅,6946,,方,,丿 一,,氏,,，,,,,2024-01-27 10:37:21,軍之五百人爲旅。从㫃从从。从，俱也。,Y,4282,in HSK,,0
族,13450,,方,,丿 一,,矢,,,,,,2024-01-27 13:07:03,矢鋒也。束之族族也。从㫃从矢。,Y,4283,in HSK,,0
先,10882,丿,,,土,儿,,,,,,,2024-01-15 13:28:54,前進也。从儿从之。凡先之屬皆从先。,Y,5444,in HSK,,0
堇,5462,,土,,廿,口,丰,,,,,,2024-01-18 22:12:05,黏土也。从土，从黃省。凡堇之屬皆从堇。,Y,9120,,,0
薻,12596,,氵,, 艹,,,,巢,,,,,水艸也。从艸从水，巢聲。《詩》曰：“于以采薻？”,Y,650,,,0
犛,6408,未,,,, 厂,牛,攵,,,,,2024-01-20 12:56:06,西南夷長髦牛也。从牛𠩺聲。凡犛之屬皆从犛。,Y,774,,,0
