id	zi	alias	pinyin	is_radical	is_active	desc_en
1756	□	□	biang4	0	0	(Tw) (coll.) cool/awesome/(etymologically, a contracted form of 不一樣|不一样[bu4 yi1 yang4])/often written as ㄅㄧㄤˋ  somewhat  slightly
1851	□	□	biu1	0	0	(onom.) pew! (sound of a bullet fired from a gun)/also pr. [biu4]
3974	□	□	ging1	0	0	uptight; obstinate; to awkwardly force oneself to do sth (from Taiwanese, Tai-lo pr. [king], often written as ㄍㄧㄥ, no generally accepted hanzi form)
1298	㝵	㝵	ai4	0	0	variant of 礙|碍[ai4]
2895	㝵	㝵	de2	0	0	to obtain (old variant of 得[de2])
9198	㲈	㲈	shao2	0	0	variant of 韶[shao2]
9944	㲈	㲈	tao2	0	0	variant of 鞀|鼗[tao2]
8396	䕭	䕭	qian2	0	0	variant of 蕁|荨[qian2]
10904	䕭	䕭	xian2	0	0	a kind of vegetable
9982	䴘	鷈	ti1	0	0	used in 鷿鷈|䴙䴘[pi4 ti1]
9983	䴘	鷉	ti1	0	0	variant of 鷈|䴘[ti1]
8065	䴙	鷿	pi4	0	0	used in 鷿鷈|䴙䴘[pi4 ti1]
8066	䴙	鸊	pi4	0	0	variant of 鷿|䴙[pi4]
432	丁	丁	ding1	0	0	surname Ding
3094	丁	丁	ding1	0	0	"""male adult/the 4th of the 10 Heavenly Stems 天干[tian1 gan1]/fourth (used like """"4"""" or """"D"""")/small cube of meat or vegetable/(literary) to encounter/(archaic) ancient Chinese compass point: 195°/(chemistry) butyl"""
7460	万	万	mo4	0	0	used in 万俟[Mo4 qi2]
1002	万	萬	wan4	0	0	surname Wan
10384	万	萬	wan4	0	0	ten thousand/a great number
888	三	三	san1	0	0	surname San
9019	三	三	san1	0	0	three/3
9174	上	上	shang3	0	0	used in 上聲|上声[shang3 sheng1]
11	上	上	shang4	0	0	(bound form) up;  upper
576	丌	丌	ji1	0	0	surname Ji
4868	丌	丌	ji1	0	0	"""""""pedestal"""" component in Chinese characters"""
8252	丌	丌	qi2	0	0	archaic variant of 其[qi2]
12268	与	與	yu2	0	0	variant of 歟|欤[yu2]
12310	与	與	yu3	0	0	and/to give/together with
12360	与	與	yu4	0	0	to take part in
3793	丐	丐	gai4	0	0	to beg for alms/beggar
3795	丐	匃	gai4	0	0	variant of 丐[gai4]
3796	丐	匄	gai4	0	0	variant of 丐[gai4]
390	丑	丑	chou3	0	0	surname Chou
