zi	desc	pinyin	nstrokes	alias	is_radical	is_zi	is_traditional	is_active	desc_en_2	desc_en														
雏		chu2		雛	0	1	0		 young bird	(bound form) chick														
仍		reng2		仍	0	1	0		 yet/to remain/(literary) frequently	still														
但		dan4		但	0	1	0		 yet	but														
脩		xiu1		脩	0	1	0		 withered	dried meat presented by pupils to their teacher at their first meeting (in ancient times)/dried														
智		zhi4		智	0	1	0		 wisdom	(literary) wise														
彬		bin1		彬	0	1	0		 well-bred	urbane														
涄		ping1		涄	0	1	0		 watery	(literary) runny														
懿		yi4		懿	0	1	0		 virtuous	(literary) exemplary														
皿		min3		皿	0	1	0		 vessel	(bound form) dish														
怅		chang4		悵	0	1	0		 upset	regretful														
上		shang4		上	0	1	0		 upper	(bound form) up														
佹		gui3		佹	0	1	0		 unreasonable/(literary) eccentric	(literary) perverse														
瞏		qiong2		瞏	0	1	0		 unaided	(literary) to gaze in terror/(literary) alone														
轨		gui3		軌	0	1	0		 track	(bound form) rail														
筹		chou2		籌	0	1	0		 token (for counting)	chip (in gambling)														
和		he2		和	0	1	0		 together with	(joining two nouns) and														
退		tui4		退	0	1	0		 to withdraw/to reject	to retreat														
澰		lian4		澰	0	1	0		 to wet	(literary) to moisten														
哭		ku1		哭	0	1	0		 to weep	to cry														
㱮		hui4		殨	0	1	0		 to ulcerate (old variant of 潰|溃[hui4])	to fester														
尝		chang2		嘗	0	1	0		 to try (food)/to experience/(literary) ever	to taste														
簸		bo3		簸	0	1	0		 to toss up and down	to winnow														
说		shuo1		說	0	1	0		 to talk	to speak														
撤		che4		撤	0	1	0		 to take away	to remove														
嚃		ta4		嚃	0	1	0		 to swallow	(literary) to drink														
消		xiao1		消	0	1	0		 to subside/to consume	to diminish														
摮		ao2		摮	0	1	0		 to strike	(literary) to hit														
纫		ren4		紉	0	1	0		 to stitch/(literary) very grateful	to thread (a needle)/to sew														
蹿		cuan1		躥	0	1	0		 to spurt out	to leap up/(coll.) to gush out														
绰		chao1		綽	0	1	0		 to snatch up/variant of 焯[chao1]	to grab														
笑		xiao4		笑	0	1	0		 to smile/to laugh at	to laugh														
滑		hua2		滑	0	1	0		 to slide/slippery	to slip														
切		qie1		切	0	1	0		 to slice	to cut														
堕		duo4		墮	0	1	0		 to sink/(fig.) to degenerate	to fall														
蔀		bu4		蔀	0	1	0		 to shelter/(literary) 76 years (unit of time in ancient calendars)	(literary) to cover														
刌		cun3		刌	0	1	0		 to sever	(literary) to cut off														
分		fen1		分	0	1	0		 to separate/to distribute	to divide														
遣		qian3		遣	0	1	0		 to send/(bound form) to drive away	(bound form) to dispatch														
揽		lan3		攬	0	1	0		 to seize/to take into one's arms	to monopolize														
透		tou4		透	0	1	0		 to seep through/to tell secretly	(bound form) to penetrate														
灼		zhuo2		灼	0	1	0		 to sear	to burn														
舀		yao3		舀	0	1	0		 to scoop up	to ladle out														
毁		hui3		毀	0	1	0		 to ruin/to defame	to destroy														
敬		jing4		敬	0	1	0		 to respect/to offer politely	(bound form) respectful														
攘		rang3		攘	0	1	0		 to resist/(literary) to seize	(literary) to push up one's sleeves/(literary) to reject														
悔		hui3		悔	0	1	0		 to repent	(bound form) to regret														
目		mu4		目	0	1	0		 to regard/eye (of a net)	eye/(literary) to look														
读		du2		讀	0	1	0		 to read aloud/to read/to attend (school)	to read out														
谵		zhan1		譫	0	1	0		 to rave	(literary) to rant														
遨		ao2		遨	0	1	0		 to ramble	to make an excursion														
设		she4		設	0	1	0		 to put in place/(math.) given	to set up														
怼		dui3		懟	0	1	0		 to publicly criticize	(Internet slang) to attack verbally														
保		bao3		保	0	1	0		 to protect	to defend														
佑		you4		佑	0	1	0		 to protect	(bound form) to bless														
慭		yin4		憖	0	1	0		 to prefer to/(literary) to incur damage or loss	(literary) to wish														
腾		teng2		騰	0	1	0		 to prance/(bound form) to soar	(bound form) to gallop														
嫐		nao3		嫐	0	1	0		 to play around with	to tease														
倒		dao4		倒	0	1	0		 to place upside down or frontside back/to pour out/to tip out	to invert														
悯		min3		憫	0	1	0		 to pity	to sympathize														
递		di4		遞	0	1	0		 to pass on	to hand over														
刡		min3		刡	0	1	0		 to pare	to scrape														
要		yao4		要	0	1	0		 to need	to want														
迎		ying2		迎	0	1	0		 to meet/to forge ahead (esp. in the face of difficulties)	to welcome														
损		sun3		損	0	1	0		 to lose/to damage	to decrease														
锁		suo3		鎖	0	1	0		 to lock up/a lock (CL:把[ba3])	to lock														
聆		ling2		聆	0	1	0		 to listen	(literary) to hear														
挹		yi4		挹	0	1	0		 to ladle out/(literary) to draw toward oneself	(literary) to scoop up														
庋		gui3		庋	0	1	0		 to keep	(literary) shelf/(literary) to store														
炝		qiang4		熗	0	1	0		 to irritate (throat etc)	to stir-fry then cook with sauce and water/to boil food briefly then dress with soy etc/to choke														
问		wen4		問	0	1	0		 to inquire	to ask														
会		hui4		會	0	1	0		 to have the skill	can														
辖		xia2		轄	0	1	0		 to have jurisdiction over	linchpin (used to fasten a wheel to an axle)/(bound form) to govern														
好		hao4		好	0	1	0		 to have a tendency to	to be fond of														
搐		chu4		搐	0	1	0		 to have a spasm	to twitch														
嗌		ai4		嗌	0	1	0		 to have a blockage in the throat/Taiwan pr. [yi4]	(literary) to choke														
获		huo4		穫	0	1	0		 to harvest	(bound form) to reap														
栽		zai1		栽	0	1	0		 to grow/to insert	to plant														
握		wo4		握	0	1	0		 to grasp/to clench (one's fist)/(bound form) to have in one's control/classifier: a handful	to hold														
授		shou4		授	0	1	0		 to give/(bound form) to teach	(bound form) to confer														
尝		chang2		嚐	0	1	0		 to experience (variant of 嘗|尝[chang2])	to taste														
陈		chen2		陳	0	1	0		 to exhibit	to lay out														
嬗		shan4		嬗	0	1	0		 to evolve	(literary) to go through successive changes														
备		bei4		備	0	1	0		 to equip/(literary) fully	(bound form) to prepare														
逗		dou4		逗	0	1	0		 to entice/(coll.) to joke/(coll.) funny	to tease (playfully)														
诱		you4		誘	0	1	0		 to entice	(literary) to induce														
挨		ai2		挨	0	1	0		 to endure/to pull through (hard times)/to delay	to suffer														
耐		nai4		耐	0	1	0		 to endure	(bound form) to bear														
拥		yong1		擁	0	1	0		 to embrace/to surround	to hold in one's arms														
纂		zuan3		纂	0	1	0		 to edit/(coll.) (hairstyle) bun	(literary) to compile														
溁		ying2		濚	0	1	0		 to eddy/(used in place names)	(archaic) (of water) to swirl														
诳		kuang2		誑	0	1	0		 to dupe/falsehood	to deceive														
泄		xie4		洩	0	1	0		 to discharge	(bound form) to leak out														
泯		min3		泯	0	1	0		 to die out	(bound form) to vanish														
逝		shi4		逝	0	1	0		 to die	(of flowing water or time) to pass by/to pass away														
想		xiang3		想	0	1	0		 to devise/to think (that)	to think (about)/to think of														
忺		xian1		忺	0	1	0		 to desire/(literary) pleased	(literary) to want														
送		song4		送	0	1	0		 to deliver	to send														
阿		e1		阿	0	1	0		 to curry favor with	(literary) to flatter														
肯		ken3		肯	0	1	0		 to consent/to be willing to	to agree														
