zi,desc,pinyin,nstrokes,alias,is_radical,is_zi,is_traditional,desc_en,is_active
A,,A,,A,0,1,0,(slang) (Tw) to steal,1
阿,,A1,,阿,0,1,0,abbr. for Afghanistan 阿富汗[A1 fu4 han4],1
哀,,Ai1,,哀,0,1,0,"Ai (c. 2000 BC), sixth of legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, also known as Li 釐|厘[Li2]",1
埃,,Ai1,,埃,0,1,0,abbr. for Egypt 埃及[Ai1 ji2],1
毐,,Ai3,,毐,0,1,0,"see historical character Lao Ai 嫪毐/by extension, person of reprehensible morals/immoral/adulterer",1
艾,,Ai4,,艾,0,1,0,surname Ai,1
安,,An1,,安,0,1,0,surname An,1
卬,,Ang2,,卬,0,1,0,surname Ang,1
敖,,Ao2,,敖,0,1,0,surname Ao,1
隞,,Ao2,,隞,0,1,0,"Ao, Shang Dynasty capital (northeast part of modern day Zhengzhou, Henan)",1
奥,,Ao4,,奧,0,1,0,Austria (abbr. for 奧地利|奥地利[Ao4 di4 li4])/Olympics (abbr. for 奧林匹克|奥林匹克[Ao4 lin2 pi3 ke4]),1
澳,,Ao4,,澳,0,1,0,abbr. for Macao 澳門|澳门/abbr. for Australia 澳大利亞|澳大利亚,1
仈,,Ba1,,仈,0,1,0,surname Ba,1
巴,,Ba1,,巴,0,1,0,Ba state during Zhou dynasty (in east of modern Sichuan)/abbr. for east Sichuan or Chongqing/surname Ba/abbr. for Palestine or Palestinian/abbr. for Pakistan,1
灞,,Ba4,,灞,0,1,0,name of a river,1
白,,Bai2,,白,0,1,0,surname Bai,1
柏,,Bai3,,柏,0,1,0,surname Bai/Taiwan pr. [Bo2],1
百,,Bai3,,百,0,1,0,surname Bai,1
班,,Ban1,,班,0,1,0,surname Ban,1
包,,Bao1,,包,0,1,0,surname Bao,1
保,,Bao3,,保,0,1,0,Bulgaria/Bulgarian/abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4],1
暴,,Bao4,,暴,0,1,0,surname Bao,1
鲍,,Bao4,,鮑,0,1,0,surname Bao,1
贝,,Bei4,,貝,0,1,0,surname Bei,1
犇,,Ben1,,犇,0,1,0,surname Ben,1
贲,,Ben1,,賁,0,1,0,surname Ben,1
蚌,,Beng4,,蚌,0,1,0,"abbr. for Bengbu prefecture-level city 蚌埠市[Beng4 bu4 shi4], Anhui",1
比,,Bi3,,比,0,1,0,Belgium/Belgian/abbr. for 比利時|比利时[Bi3 li4 shi2],1
毕,,Bi4,,畢,0,1,0,surname Bi,1
邲,,Bi4,,邲,0,1,0,surname Bi/ancient place name,1
卞,,Bian4,,卞,0,1,0,surname Bian,1
汳,,Bian4,,汳,0,1,0,name of an ancient river in Henan,1
汴,,Bian4,,汴,0,1,0,name of a river in Henan/Henan,1
别,,Bie2,,別,0,1,0,surname Bie,1
豳,,Bin1,,豳,0,1,0,name of an ancient county in Shaanxi/variant of 彬[bin1],1
邠,,Bin1,,邠,0,1,0,variant of 豳[Bin1],1
并,,Bing1,,并,0,1,0,short name for Taiyuan 太原[Tai4 yuan2],1
秉,,Bing3,,秉,0,1,0,surname Bing,1
邴,,Bing3,,邴,0,1,0,surname Bing,1
波,,Bo1,,波,0,1,0,Poland/Polish/abbr. for 波蘭|波兰[Bo1 lan2],1
亳,,Bo2,,亳,0,1,0,name of district in Anhui/capital of Yin,1
僰,,Bo2,,僰,0,1,0,name of an ethnic group,1
渤,,Bo2,,渤,0,1,0,"same as 渤海[Bo2 Hai3], Bohai Sea between Liaoning and Shandong/Gulf of Zhili or Chihli",1
薄,,Bo2,,薄,0,1,0,surname Bo,1
卜,,Bu3,,卜,0,1,0,surname Bu,1
步,,Bu4,,步,0,1,0,surname Bu,1
蔡,,Cai4,,蔡,0,1,0,surname Cai,1
苍,,Cang1,,蒼,0,1,0,surname Cang,1
曹,,Cao2,,曹,0,1,0,surname Cao/Zhou Dynasty vassal state,1
鄵,,Cao4,,鄵,0,1,0,"ancient place name (between present-day Xinzheng County 新鄭|新郑[Xin1 zheng4] and Lushan County 魯山|鲁山[Lu3 shan1], Henan)",1
策,,Ce4,,策,0,1,0,surname Ce,1
